stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,144.96,2200.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,98.07,1593.71,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,42.91,12.26,12.26,36.78,0,0,0,0,0,0,0,0
  7-9,0,15.77,7.89,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,173.5,2.63,70.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0,0,0,4.93,0,0,0,0,1.64,7.39,0,0,1.64,0,0.82,0,0,3.28,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,2.42,0,0,0,0,0,1.61,0,0,0.81,0,2.42,0,0,1.61,0,0,0.81
 48-58,0,0,0,0,3.44,1.15,0,0,0.57,0,0,0,0,0,0,0,0,3.44,0,0,2.3,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,1.96,0.98,0,0.98,0,0,2.94,0,0,1.96,0,0.98,0,0,0.98,0,0,0
 72-82,0,0,0,0,1.96,2.94,0,0,0,1.96,0,2.94,0,0,0,0.98,0,2.94,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,8.5,0,2.12,0,1.06,0,0,0,2.12,0,0,1.06,0,2.12,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,1.09,3.28,0,0,0,2.19,0,5.46,0,0,0,0,0,1.09,0,0,1.09,0,1.09,0,0,0,0,3.28,0
108-118,0,0,0,0,0.77,1.53,0,0,0,2.3,0,2.3,0,0.77,0,0,0,0,0,0,3.06,0,2.3,0.77,0,0,0,3.83,0
120,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,1.96,0,5.88,0,0,3.92,0,5.88,0,0,0,0,3.92,0
