stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,30.37,0,0,0,0,0,0,0,0,0.82,0,0,0,6.57,0.82,0.82,2.46,46.79,0.82,0.82,0,0,0.82,0,4.93,0,0.82
 36-46,0,0.81,1.61,0,58.81,0.81,0,0,3.22,0,0,1.61,0,1.61,0,0,0,4.03,0,0.81,1.61,60.43,1.61,2.42,0,2.42,0,0.81,18.53,0.81,0
 48-58,0,0,1.72,0.57,60.25,0.57,0.57,0,1.15,0,0,0,0,0,0,0,0,8.03,0,0,1.15,52.22,0.57,0.57,0,1.72,0,0,15.49,1.15,1.72
 60-70,0,0,0.98,0,88.34,0,2.94,0,4.91,0,0.98,0,0.98,0,0,0.98,0.98,16.69,0,0,0.98,49.08,0,0,0.98,1.96,0.98,0,2.94,0,0.98
 72-82,0,0.98,4.91,0.98,81.48,0,0,1.96,8.83,0.98,0,0,0.98,0,0,0,0,10.8,0,0,0.98,37.3,0,0.98,0.98,2.94,0,0,0.98,1.96,5.89
 84-94,0,0,3.19,1.06,83.9,0,0,0,7.43,0,0,0,1.06,0,1.06,0,0,11.68,0,0,2.12,24.43,0,0,0,1.06,0,0,6.37,2.12,0
 96-106,0,0,0,1.09,36.06,0,0,0,4.37,2.19,0,0,1.09,0,1.09,1.09,0,4.37,0,1.09,0,5.46,0,0,0,2.19,0,0,0,1.09,0
108-118,0,0,3.06,0,49.02,0,0,0.77,6.13,0,0,0,0,0,0.77,2.3,0,8.43,0,0,0,22.98,0.77,0.77,0.77,3.06,0,0,0,0,1.53
120,0,0,3.92,1.96,47.03,0,0,0,0,0,0,0,0,0,0,1.96,0,9.8,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0
