stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,57,0,3,0,0,0,1,0,0,1,8,0,4,14,0,0,0,0,3,1,2,0,0,0,0
 24-34,0,0,0,3.28,0.82,0,0,0,0,0,0.82,0,0,18.88,0,0,4.93,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,14.5,0,1.61,10.47,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,2.3,0,0,0,0,0,0,0,0,0,10.9,0,2.3,15.49,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,3.93,0,0,13.74,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,4.91,0,3.93,0,0,0,0,0,6.87,0,4.91,36.32,0,0.98,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,2.12,0,0,0,0,0,0,0,5.31,1.06,0,24.43,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,4.37,1.09,2.19,0,1.09,0,0,0,6.56,0,0,30.6,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,1.53,0.77,0,0.77,0,0.77,0,0,8.43,0,3.06,50.55,0.77,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,1.96,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,62.71,1.96,0,0,0,0,0,0,0,0,0,0
