stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,11.49,0.82,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0.81,0,1.61,0,1.61,0.81,0,0,0,0.81,0,0,0.81,8.06,0,0,0,0,0,0,6.45,0,0,0
 48-58,0,0,0,0,4.02,0,0.57,0,0.57,0.57,0,4.59,0,0,0.57,10.9,0,0,0,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,3.93,0.98,1.96,0,0,0.98,0,1.96,0,0,0,14.72,1.96,0,1.96,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,5.89,0,0.98,0,0,0,0,3.93,0.98,0.98,0.98,13.74,0.98,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,2.12,0,1.06,0,1.06,0,0,1.06,0,1.06,0,0,0,8.5,1.06,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,3.28,0,3.28,0,1.09,1.09,1.09,6.56,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.06,0,1.53,0,0,0,0,3.06,0,0,0,5.36,0,0.77,0.77,0,0.77,0,0.77,0,0,0
120,0,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0,0,0,7.84,1.96,0,0,0,0,0,0,0,0,0
