stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,4,3,3,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,172,0,0,0,0,0,0,6,1,48,0,0,0,0,0
 24-34,0,0,2.46,2.46,0,4.1,0,0,0,16.42,0,0,0.82,0.82,0,0,9.03,13.13,0,0.82,0.82,458.04,0,0,0,0,0,2.46,0,0.82,127.23,0,0,0,0,0
 36-46,0,0,0.81,0.81,0,45.12,0,0.81,0,69.29,0,0,0,0,0,0,1.61,6.45,0,0.81,0.81,1041.73,0,0,0.81,0,0,0.81,0,0,255.4,0,0,0,0,0.81
 48-58,0,0,0.57,4.02,0.57,170.42,0.57,0.57,0,172.72,0,0,0.57,0.57,0.57,0.57,1.72,32.71,0,0,2.3,1429.92,0,1.15,0.57,0,0,2.3,0.57,0,265.67,0,0,1.15,0,3.44
 60-70,0,0,0,1.96,0,427.94,0,0.98,0.98,257.16,0,0,2.94,0.98,0,0,0.98,25.52,0.98,2.94,1.96,2001.32,0,0,1.96,0,0,0.98,0,0,322.92,0,0,0,0,0
 72-82,0,0,4.91,9.82,1.96,473.16,0,0,2.94,359.29,0,0.98,0.98,0.98,0.98,0.98,0,49.08,0.98,0,1.96,1725.76,0,0.98,3.93,0,0.98,0.98,1.96,0,174.74,0,0.98,2.94,0.98,2.94
 84-94,0,0,4.25,8.5,1.06,331.36,1.06,0,1.06,216.66,1.06,0,1.06,0,0,1.06,0,48.85,0,0,2.12,866.62,0,0,6.37,0,0,4.25,0,0,117.89,0,2.12,1.06,1.06,0
 96-106,0,0,5.46,14.21,1.09,248.08,1.09,2.19,0,238.24,1.09,0,0,1.09,1.09,0,1.09,27.32,0,1.09,2.19,779.2,1.09,0,3.28,0,0,4.37,0,0,41.53,1.09,0,2.19,0,0
108-118,0,0,1.53,10.72,1.53,176.94,0,1.53,0,194.55,0.77,0,0.77,0,0,0.77,0,13.79,0,0.77,1.53,883.16,0,0.77,1.53,0,0,1.53,0,0,34.47,0.77,0,2.3,0.77,0
120,0,0,1.96,11.76,0,176.38,0,3.92,1.96,141.1,1.96,0,7.84,0,0,1.96,0,15.68,0,0,5.88,785.87,0,0,0,0,1.96,0,0,0,39.2,0,0,3.92,0,0
