stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,presomitic.mesoderm,spinal.cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0
 14-21,0,0,1,7,0,0,0,1,3,1,0,9,3,4,0,1,0,0
 24-34,0,0,1.64,1.64,0,0,0,0,0,0,0,3.28,0.82,1.64,0,0,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,2.42,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,2.94,0,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,3.19,0,0,0,0
 96-106,0,1.09,0,0,1.09,1.09,1.09,4.37,0,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,1.53,0,1.53,0,0,3.06,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
