stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,10.67,0,0,0,0,0,0,0.82,0,0,0.82,13.13,0,0,0,0.82,0,0,4.93,0,0.82,0,0
 36-46,0,0,0,0.81,0,34.64,0,0,0,0.81,0,0,0,0,0,0,14.5,0,0,0,0.81,0,0,3.22,0,0.81,0,0
 48-58,0,0,0,0,0,70,0,0.57,0,0,0,0,1.15,0,0,0,12.62,0,0.57,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,409.29,0,2.94,0,0,0,0.98,2.94,0,0,0,13.74,0,0.98,0,0.98,0,0.98,2.94,0,0,0,0
 72-82,0,0,0,1.96,0,373.03,0.98,5.89,0,0,0.98,0,1.96,0,0,0.98,19.63,0,0.98,0,0,0,0,4.91,0,0,0,0.98
 84-94,0,0,0,2.12,0,372.78,1.06,8.5,1.06,0,0,0,7.43,0,1.06,0,8.5,0,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,0,123.49,0,1.09,0,0,1.09,0,4.37,1.09,0,1.09,3.28,0,0,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0.77,0.77,114.89,0,0.77,0.77,0,0.77,0,2.3,0,0,0,8.43,0.77,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,3.92,0,90.15,0,0,0,0,0,1.96,0,0,0,0,11.76,1.96,0,0,1.96,0,0,0,0,0,0,0
