stage,epidermis,eye,fast.muscle,fin.epithelia,glial,melanocytes,mesenchyme,muscle,neural,notochord,periderm,slow.muscle,somites,vasculature
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0.82,0,0,0.82,0,0,0,0,1.64,0.82,0.82,0,0,0
 36-46,0,0.81,0,0,0.81,0,0.81,0.81,2.42,0,0,0,0,0
 48-58,0,2.87,0,0,0,0,0.57,0.57,3.44,0,0,0.57,0,0
 60-70,0,2.94,0,0.98,0.98,0,0.98,0,1.96,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0
 84-94,0,3.19,0,0,0,0,1.06,0,1.06,0,1.06,0,0,0
 96-106,0,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0.77,1.53,0,0,1.53,0.77,0.77,0,0,0,0.77,0,0,0.77
120,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0
