stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,24.52,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,5.26,0,10.51,0,0,0,0,0,0,0,0,5.26,0,0,0,0,89.38,0,0,18.4,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,26,0,0,0,2,0,1,20,0,0
 24-34,0,0,0,0,0.82,0,0,88.65,0,0,0,0,0,0,0.82,2.46,0.82,66.49,0,0.82,0,4.93,0,0,20.52,0.82,0.82
 36-46,0,0,0,0,0.81,0,0,103.93,0.81,0,0,0,0,0,0,3.22,0.81,72.51,0,0.81,0,0.81,0,0,38.67,2.42,0.81
 48-58,0,0,0,0,0.57,0,0,96.97,0,0,1.72,0,0,0,0,2.3,1.15,33.85,0,0,0,0.57,0,0,16.64,0,0.57
 60-70,0,0,0,0,0,0,0,129.56,0,0,0.98,0,0,0,0,1.96,0,25.52,0,0,0,0,0,0,15.7,0,0
 72-82,0,0,0.98,0,0,0,0,114.85,0,0.98,0,0,0,0,0,2.94,0.98,17.67,0.98,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,96.65,1.06,0,1.06,0,0,0,0,0,0,5.31,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,69.94,0,0,2.19,0,0,0,0,2.19,1.09,5.46,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,1.53,0,75.83,0.77,0.77,0,0.77,0,0.77,0,3.06,0.77,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,86.23,0,0,1.96,0,0,0,0,0,0,11.76,0,0,0,1.96,0,0,0,0,0
