stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,122.73,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,4,6,0,3,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0,188,1,9,0,0,0,0,0,0,0,111,0,0,3,0,0
 24-34,0,0.82,8.21,1.64,0,15.6,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,4.93,0,0,4.93,1579.33,0,71.41,1.64,0,1.64,0,0,0,0.82,444.9,0,0,9.03,0,0
 36-46,0,0.81,3.22,0,0,122.46,0,0,0,9.67,0,0,0.81,0,0,0,0,0,0.81,8.86,0,0,4.03,3873.66,0.81,85.4,0.81,0.81,7.25,0,0,0,0,742.02,0,0.81,0.81,0,1.61
 48-58,0,0.57,20.66,1.15,0,461.91,0,2.3,2.87,69.43,0,0,0.57,0.57,0.57,1.72,1.15,2.3,1.15,38.44,0.57,1.72,11.48,5443.69,1.72,61.4,6.31,0,4.59,0,1.15,0.57,0,836.61,0,0,2.3,0,2.87
 60-70,0,0.98,21.59,1.96,0,779.33,0.98,1.96,4.91,83.43,0,0,0,2.94,0.98,9.82,0,0,0,87.36,0.98,1.96,6.87,6512.4,0.98,65.76,16.69,0,9.82,0,0,1.96,0,834.29,0,0,4.91,1.96,0
 72-82,0,2.94,43.19,1.96,0,1136.76,0,1.96,2.94,162.96,4.91,0,3.93,3.93,0,18.65,2.94,4.91,0.98,155.1,0.98,22.58,9.82,5785.91,0,107.98,23.56,2.94,5.89,0.98,0.98,1.96,0,473.16,0.98,0.98,4.91,3.93,2.94
 84-94,0,1.06,72.22,8.5,2.12,887.86,0,3.19,1.06,164.62,2.12,1.06,4.25,4.25,1.06,25.49,2.12,22.3,0,98.77,0,21.24,4.25,3058.67,0,104.08,25.49,1.06,16.99,0,0,1.06,0,288.87,2.12,4.25,5.31,5.31,1.06
 96-106,0,0,63.39,7.65,0,716.91,3.28,7.65,2.19,157.37,7.65,0,3.28,7.65,0,25.14,1.09,18.58,2.19,125.68,4.37,12.02,1.09,2526.66,1.09,160.65,33.88,1.09,17.49,0,1.09,1.09,0,120.21,2.19,2.19,6.56,4.37,4.37
108-118,0,0.77,46.72,3.83,5.36,575.24,3.06,3.06,2.3,103.41,6.13,0,2.3,5.36,1.53,55.15,3.06,69.7,0,130.21,1.53,14.55,7.66,2958.91,1.53,96.51,28.34,0,8.43,0,0.77,0,0,84.26,3.83,0.77,6.89,3.06,0
120,0,1.96,54.87,9.8,1.96,793.71,3.92,3.92,3.92,176.38,5.88,0,7.84,13.72,3.92,54.87,1.96,48.99,0,150.9,3.92,7.84,21.56,4505.55,5.88,97.99,35.28,0,5.88,0,7.84,0,0,139.14,0,0,11.76,0,0
