stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,1,0,2,8,0,1,18,31,0,0,0,0,0,0,5,0,0,0,0
 24-34,0,0,1.64,0.82,0,18.88,0,0.82,0,0,0,0,5.75,1.64,0.82,0.82,0,13.13,36.94,1.64,24.63,49.25,40.22,2.46,0,0,0.82,0.82,0,12.31,0,7.39,0,4.1
 36-46,0,0,0,0,0,11.28,0,0.81,0,0,0,0,2.42,0,0,0.81,1.61,17.72,33.03,0.81,9.67,42.7,20.14,0,0,0,0,0,0.81,5.64,0,2.42,0,4.03
 48-58,0,0,0,0.57,0,10.9,0,1.72,3.44,2.87,0,1.72,4.02,5.74,0,0,0,9.75,36.15,2.87,10.33,36.72,5.16,0.57,0,0,1.72,0,0,5.16,0,2.3,0,5.16
 60-70,0,0,0,0,0,9.82,0,0,0,0.98,0,0,0,1.96,0,0.98,0,0,34.35,2.94,4.91,27.48,0.98,0,0,0,1.96,0,0,2.94,2.94,0,1.96,2.94
 72-82,0,0,1.96,0.98,0,15.71,0,0,0.98,31.41,0,0,3.93,6.87,0,1.96,0,3.93,94.24,4.91,7.85,33.38,0.98,0,0,0,1.96,0.98,0,0.98,1.96,3.93,1.96,4.91
 84-94,0,0,2.12,0,0,6.37,0,1.06,1.06,12.74,0,0,2.12,5.31,0,1.06,0,1.06,50.98,3.19,6.37,19.12,1.06,2.12,0,0,2.12,0,0,1.06,2.12,7.43,1.06,2.12
 96-106,0,1.09,0,2.19,0,12.02,1.09,0,1.09,29.51,0,0,1.09,7.65,0,4.37,0,3.28,62.29,5.46,8.74,20.76,0,1.09,0,2.19,1.09,0,0,2.19,3.28,3.28,5.46,0
108-118,0,0,1.53,0,3.06,6.89,0.77,0,0,16.09,0.77,0,0.77,9.96,0,2.3,1.53,4.6,46.72,3.06,2.3,10.72,0,0,0,1.53,0,0,0,1.53,1.53,2.3,2.3,2.3
120,0,0,0,0,0,3.92,0,0,0,23.52,1.96,0,1.96,9.8,0,0,0,0,33.32,0,1.96,23.52,1.96,1.96,0,0,0,0,0,0,3.92,7.84,3.92,0
