stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,47.32,10.51,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,15.73,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,198.26,12.59,0,0,97.56,0,0,22.03,3.15,6.29,0,0,0,0
 14-21,0,0,1,0,17,11,1,0,0,72,0,0,1,1,0,0,0,8,0,4,74,5,7,33,16,1,3,78,2,259,0,0,0,0
 24-34,0,0,0,0,8.21,0,3.28,0.82,0.82,76.34,0,0,0.82,0,1.64,0,0,7.39,0,1.64,46.79,0.82,27.09,8.21,0,0,0,26.27,4.93,152.68,0,0,2.46,0
 36-46,0,0,0,0,0.81,0,0,0,0,45.12,0.81,0,0.81,0,0.81,0.81,0.81,1.61,0,0.81,50.76,0,28.2,4.83,0,0,0,14.5,0,83.79,0,0,0,0
 48-58,0,0,0,0.57,1.15,0,9.75,0,0,39.02,0,0,2.87,0,1.72,0.57,0,3.44,0,0,28.12,0.57,22.38,4.02,0,0,0,6.31,0,72.3,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,13.74,0,0,50.06,1.96,0,1.96,0,2.94,0,0,3.93,0.98,0,23.56,0,23.56,8.83,0,0,0,6.87,0,37.3,0,0,0,0.98
 72-82,0,0,6.87,0,0,0,17.67,0,0.98,55.95,3.93,0,6.87,0,2.94,0,0,1.96,0,0,24.54,0,50.06,16.69,0,0,0,5.89,0,26.5,0,0,0,0
 84-94,0,0,4.25,1.06,3.19,0,9.56,0,1.06,39.3,2.12,0,13.81,0,7.43,0,1.06,1.06,1.06,0,18.05,0,55.23,7.43,0,0,0,12.74,0,19.12,0,1.06,0,1.06
 96-106,0,0,1.09,1.09,0,0,2.19,0,0,33.88,0,0,8.74,0,10.93,0,0,3.28,0,0,9.84,0,62.29,24.04,0,1.09,0,9.84,0,12.02,0,1.09,0,0
108-118,0,0,1.53,2.3,0.77,0,7.66,0,0,22.98,0,0,9.96,0.77,8.43,0,0,1.53,0,0,13.79,0,49.02,13.02,0,0,0,9.19,0,5.36,0,0,0,0
120,0,0,0,0,0,0,9.8,0,0,15.68,0,0,9.8,1.96,15.68,0,0,0,0,0,21.56,0,23.52,5.88,0,0,0,5.88,0,7.84,1.96,1.96,0,0
