stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,471.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,10.51,0,0,10.51,0,0,7.89,0,0,0,0,0,0,173.5,2.63,0,0,76.23,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,81.82,0,0,0,62.94,0,0,25.18,0,0,0,0,0
 14-21,0,0,1,0,2,2,1,2,0,0,0,0,1,2,0,1,34,1,0,0,0,0,4,3,4,20,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0,0.82,0,0,1.64,52.53,0.82,0,0,0,0,0,0,0.82,25.45,0,1.64,0
 36-46,0,0,0,0,0,0,11.28,2.42,0,0,0,0,0,1.61,0.81,0,39.48,0,0,0,0,0,0,0,0,9.67,0,0,0
 48-58,0,0,0,0,0,0.57,9.75,1.72,0,0,0,0,0,1.15,0,0,27.54,0,0.57,0,0,0,0,0,0,5.74,0,0.57,0
 60-70,0,0,0,0,0,0,11.78,1.96,0.98,0,0,0,0,1.96,0,0,24.54,0,0,0,0,0,0,0,0,4.91,0.98,0,0
 72-82,0,0,0.98,0,0.98,0.98,15.71,1.96,0,0,0.98,1.96,0.98,1.96,0.98,0.98,11.78,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,0,3.19,1.06,0,0,0,0,0,1.06,0,1.06,9.56,1.06,0,0,0,2.12,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,4.37,0,3.28,0,0,2.19,0,3.28,0,1.09,8.74,0,0,0,0,1.09,0,0,0,2.19,0,1.09,1.09
108-118,0,0,0.77,0,1.53,0,3.83,3.06,2.3,0,0,0.77,0,1.53,0,0,9.96,0.77,0.77,0.77,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,1.96,3.92,0,0,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,1.96,0,0,0,0,0
