stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,10.51,0,0,26.29,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,202.41,5.26,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,31.47,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,9.44,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,25,6,9,0,0,0,3,3,0,0,0,2,0,1,0,0,14,0,0,11,136,5,0,2,1,0,2,28,2,2,28,50,0,0,1,0,0
 24-34,0,0,0,1.64,9.85,0.82,14.78,0,0,0,2.46,0.82,0,0,0,1.64,0,0,0,0,23.8,1.64,0,3.28,152.68,2.46,0.82,0,0,0,1.64,0,0,0,2.46,41.86,0,0,6.57,0,0
 36-46,0,0,0,0,1.61,0,15.31,0,0,1.61,5.64,0,0,0,0,0,0,0,0.81,0.81,10.47,0,0.81,1.61,131.32,0.81,1.61,3.22,0,0,3.22,0,1.61,0,0.81,37.06,0,0,5.64,0,0
 48-58,0,0,0,0,1.15,0,30.99,0,0.57,1.15,5.16,0.57,0,0.57,0,1.15,0,1.15,0.57,0,17.79,0,2.3,5.74,89.51,0.57,0.57,0,0,0,3.44,0,0.57,0,0,26.97,0,0,2.3,0,0.57
 60-70,0,0,0,0,5.89,0.98,36.32,0.98,0,1.96,15.7,0.98,0,0.98,0,0,0,0,0,0,19.63,0,1.96,3.93,106.99,0,1.96,0.98,0,0,0.98,0,0.98,0,0,16.69,0,1.96,2.94,0,0
 72-82,0,0,1.96,0,4.91,0,35.34,0,0.98,0.98,14.72,0,0,2.94,0.98,0.98,0,0.98,0,0,29.45,0,0.98,2.94,88.35,0,1.96,0,0,0,0.98,0,0,0,0,12.76,0.98,1.96,1.96,0.98,0
 84-94,0,0,3.19,0,6.37,1.06,25.49,1.06,0,2.12,13.81,1.06,1.06,0,1.06,1.06,0,3.19,1.06,0,20.18,0,0,2.12,48.85,0,0,2.12,0,0,7.43,0,0,0,0,8.5,0,0,1.06,3.19,0
 96-106,0,0,0,0,4.37,0,21.86,1.09,3.28,0,17.49,4.37,0,0,1.09,1.09,1.09,1.09,0,0,21.86,0,0,3.28,34.97,0,5.46,4.37,0,1.09,5.46,0,0,0,0,0,0,0,3.28,0,1.09
108-118,0,0,0,0,5.36,0.77,14.55,0,0.77,0,13.02,3.06,0,0.77,3.06,0.77,4.6,0.77,0.77,0.77,16.85,0,0.77,1.53,50.55,0.77,0.77,1.53,0,0,6.13,0,1.53,0,0,2.3,0.77,0,2.3,2.3,0.77
120,0,0,0,0,7.84,0,13.72,0,1.96,1.96,15.68,0,0,1.96,5.88,3.92,0,0,0,0,13.72,0,0,3.92,74.47,1.96,0,5.88,0,0,5.88,0,0,0,0,1.96,1.96,1.96,0,0,0
