stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.93,0,0,0,3.15,0,0,6.29,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,1,0,1,0,0,0,0,2,0,0,621,0,0,0,0,0,0,1,3,360,0,1,0
 24-34,0,0,0,0,1.64,0,0,2.46,0,0,0,0,0,0,2.46,0,0,523.71,0,0,0,0,0,0,0,0,243.79,0,0,0
 36-46,0,0,0.81,0,124.88,0,0.81,20.95,0,0,0,0,0,0,2.42,0,0.81,740.41,0.81,0,0,0,0,0.81,0,0,235.26,0,0,0
 48-58,0,0,2.3,0,373.55,0.57,0,44.76,0,0.57,0,0,0,0.57,6.89,0.57,0.57,336.82,0.57,0,1.15,0,0,0.57,0,0,110.74,0,0,0
 60-70,0,0,1.96,0.98,568.3,1.96,0,38.28,0,0,1.96,0,0.98,0,5.89,0,0,121.71,0,0.98,0,0,0,0,0,0,30.43,0,0.98,0
 72-82,0,0,3.93,0,439.78,0.98,0.98,36.32,1.96,0,0,0,0,0,7.85,0,0.98,113.87,0,0,0.98,0,0,1.96,0,0,7.85,0,0,0
 84-94,0,0,7.43,1.06,253.83,0,1.06,39.3,1.06,0,0,1.06,0,1.06,14.87,2.12,1.06,53.1,0,1.06,0,0,0,0,0,0,16.99,2.12,0,0
 96-106,0,0,2.19,0,170.48,0,0,31.69,0,0,0,0,0,0,4.37,0,1.09,41.53,0,0,0,0,1.09,0,0,0,1.09,0,0,1.09
108-118,0,0,1.53,0,156.26,0,0,30.64,0,0,0,0,0,0,0,0,0,55.15,0,0,0,0,0,1.53,0,0,0,0,1.53,0
120,0,0,1.96,0,131.31,0,0,29.4,1.96,0,0,0,1.96,0,3.92,0,1.96,64.67,0,0,0,0,0,1.96,0,0,0,0,0,0
