stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,4.93,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,1.61,1.61,0,0
 48-58,0,0.57,0,2.3,0,0.57,0.57,0,0,0,0.57,0,5.16,0,0,0,0,0.57,2.3,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0.98,0.98,3.93,0.98,0,0,0.98,0.98,0,0.98,0.98
 72-82,0,0,0.98,2.94,0,0,0.98,0.98,0,0,2.94,0,9.82,1.96,0.98,0,0,2.94,1.96,0,0
 84-94,0,1.06,1.06,3.19,1.06,1.06,1.06,1.06,0,1.06,2.12,0,5.31,0,0,0,0,2.12,0,0,0
 96-106,0,1.09,1.09,1.09,0,0,2.19,0,1.09,0,2.19,0,4.37,0,0,0,0,4.37,1.09,1.09,0
108-118,0,0.77,1.53,1.53,0,1.53,0,0,0,0,4.6,0.77,8.43,1.53,0,0,0,3.83,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,7.84,0,0,0,0,5.88,1.96,0,0
