stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,melanocytes,mesenchyme,neural,notochord,olfactory,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,14.78,0.82,0,0,0,0,7.39,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,33.03,0,0,0,0,0,12.09,0,0,0
 48-58,0,0,0.57,0,1.72,0,0.57,0,0,0,26.97,0,0,0,0,0,5.16,0,1.15,0
 60-70,0,0,0,0,0,0.98,0,0,0,1.96,48.09,0,0,0,0,0,8.83,0,0,0
 72-82,0,0,0.98,0,10.8,0,0,0.98,0,1.96,62.83,0,0,0.98,0.98,0,3.93,0,0,0
 84-94,0,0,0,0,5.31,0,1.06,0,0,1.06,42.48,0,0,0,0,0,3.19,0,0,0
 96-106,0,2.19,0,1.09,3.28,0,1.09,1.09,0,1.09,37.16,0,1.09,0,0,0,1.09,1.09,0,0
108-118,0,0,0,0,6.13,0,1.53,0,0.77,0,39.06,0,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,9.8,0,1.96,0,0,0,31.36,0,0,0,0,0,0,0,0,0
