stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,181,1,1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,7,3,0,0,0,0
 24-34,0,0,108.35,0,0.82,0,0,0,0.82,0,0,3.28,0,1.64,1.64,0.82,12.31,0,7.39,0,0,13.95,2.46,0,0,0,0
 36-46,0,0,32.23,0,0.81,0.81,0.81,0,0,0,0,0.81,0,4.03,0,0,1.61,1.61,4.83,0,0,12.09,0.81,0,0,0,0
 48-58,0,0,24.1,0,1.15,2.3,0.57,0,0,0,0,1.15,0.57,12.05,0.57,0.57,10.9,0,10.9,0,0,14.92,0.57,0,0,0,0
 60-70,0,0,32.39,0,5.89,4.91,0,2.94,0,0,0,0,0,14.72,0.98,0,14.72,0,4.91,0,0,11.78,0,0,0,0,0.98
 72-82,0,0,31.41,0.98,1.96,2.94,0,0,0,0,0.98,1.96,0,28.47,0.98,0.98,2.94,0,4.91,0,0,9.82,0,0,0,0.98,0
 84-94,0,0,38.23,0,0,4.25,0,3.19,0,1.06,0,1.06,0,24.43,1.06,0,3.19,0,4.25,0,0,20.18,0,1.06,0,0,0
 96-106,0,0,43.71,0,2.19,3.28,0,1.09,0,0,0,1.09,0,17.49,2.19,2.19,4.37,0,12.02,0,1.09,21.86,0,0,0,0,0
108-118,0.77,0,41.36,0,1.53,3.83,0.77,0,0,0,0,2.3,0,22.21,0,2.3,3.06,0,6.89,0,0,9.19,0,0,0.77,0.77,0
120,0,0,54.87,0,3.92,1.96,0,3.92,0,0,0,0,0,25.48,0,0,5.88,0,5.88,0,0,7.84,0,0,0,0,0
