stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,muscle,neural,otic,periderm,somites,spinal.cord
 14-21,0,1,0,0,1,0,0,0,0,0,6,0,0,0,1
 24-34,0.82,0,0.82,0,0,0,0,0,0,0,4.93,0.82,0,1.64,1.64
 36-46,0,0,0,0,0,0.81,0,0,3.22,0.81,8.06,0,0.81,0,2.42
 48-58,0,0,0.57,0,1.72,1.15,0,0,1.15,0,13.77,0,0,0,2.3
 60-70,0,0,0,0,2.94,0,0,0,0,0,11.78,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,0.98,0,3.93,0,0,0,1.96
 84-94,0,0,0,1.06,0,1.06,0,1.06,2.12,0,4.25,0,0,0,3.19
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,2.19,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0,0
