stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,0,0,2.63,0,0,18.4,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,1,4,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,29.55,0,0,0,0,0,0,7.39,0,0,0,0
 36-46,0,0,0,0,4.83,0.81,0,0,3.22,0,41.89,0,0.81,0,0,0,0,7.25,0,0,0,0
 48-58,0,0,0,0,9.75,0.57,0,0,4.02,0,67.14,0,0,0,0,0,0,9.18,0,0,0,0.57
 60-70,0,0,0,0.98,3.93,1.96,0,0,1.96,0,102.08,0,0.98,0,0,0,0,6.87,0,0,0,0
 72-82,0,0,0,1.96,11.78,4.91,0,0,0.98,0,82.46,0.98,3.93,0,0,0,0,2.94,0,0.98,0,0.98
 84-94,0,0,0,0,10.62,0,0,0,3.19,1.06,54.16,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,7.65,2.19,0,0,1.09,0,50.27,0,7.65,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,7.66,4.6,0.77,0,2.3,0,49.02,0,0.77,0,0,0,0,2.3,0,0,0.77,0
120,0,0,0,0,7.84,9.8,0,0,1.96,0,78.39,0,5.88,0,0,0,0,3.92,1.96,0,1.96,0
