stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,1,6,0,0,0,0,0
 24-34,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,9.85,0,0,0,0,4.93,0,0,4.1,0,0
 36-46,0,0,1.61,0,0.81,0,0,0,1.61,0,0,0.81,1.61,0,13.7,0,0,0,0,3.22,0,0,1.61,0,0
 48-58,0.57,0,1.15,0,1.15,0,1.15,0.57,0,0,1.15,0.57,0.57,0,12.05,0,0,0,0,0.57,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,1.96,0,0,0,0,0,0,23.56,0,0,0,0,2.94,0,0,1.96,0,0
 72-82,0,7.85,5.89,0,1.96,0,1.96,4.91,3.93,0,0.98,0.98,0,0.98,24.54,0,0,0,0,2.94,0,0,0,0,0.98
 84-94,1.06,8.5,2.12,1.06,0,0,0,5.31,15.93,1.06,1.06,1.06,0,0,12.74,0,0,1.06,0,2.12,0,0,0,0,0
 96-106,2.19,7.65,1.09,1.09,4.37,0,0,7.65,12.02,1.09,0,5.46,0,0,12.02,0,0,0,0,0,0,1.09,0,0,0
108-118,2.3,6.13,2.3,1.53,1.53,0,0,9.96,7.66,0,0,1.53,0.77,0,16.85,0,0,0,0,0,3.83,0,4.6,0,0
120,3.92,7.84,3.92,0,0,1.96,0,19.6,7.84,1.96,0,3.92,0,0,35.28,0,0,1.96,0,1.96,3.92,0,1.96,1.96,0
