stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,306.48,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,29,12,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,15,0,1,8,0,0,2,0,0,2,0,0,0,0,0,0
 24-34,0,0,2.46,0.82,2.46,0,6.57,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0.82,2.46,0,0.82,0.82,0,0.82,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,8.86,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0,4.59,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,130.54,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,635.14,0,0,0.98,4.91,0.98,0.98,0,0,0.98,0.98,0,8.83,0.98,0,0,31.41,0.98,0,2.94,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0
 84-94,0,0,0,0,7.43,1.06,658.46,0,0,0,2.12,0,1.06,0,2.12,0,0,0,6.37,0,0,0,18.05,0,0,1.06,0,2.12,0,0,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,1.09,0,6.56,2.19,725.65,3.28,0,2.19,6.56,1.09,0,1.09,0,1.09,1.09,0,14.21,0,0,1.09,37.16,0,1.09,1.09,0,1.09,0,0,1.09,0,0,1.09,0,3.28,0,0
108-118,0,0,0.77,0,0.77,3.06,533.11,0.77,0.77,0,3.06,0,0,0,1.53,0.77,1.53,0,9.19,0,0.77,0,31.4,0,0,0.77,0,3.83,0,0.77,0,0,1.53,0,0,0,0,0.77
120,0,0,0,0,3.92,1.96,566.38,0,1.96,0,3.92,0,0,1.96,0,0,0,0,17.64,0,1.96,1.96,45.08,0,0,1.96,0,3.92,0,1.96,0,0,0,0,1.96,1.96,1.96,0
