stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,149.84,5.26,0,0,34.17,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,226.58,6.29,0,0,66.09,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,40,7,0,30,2,0,4,0,8,0,1,0,0,0,1,30,0,0,15,190,3,0,1,7,0,0,6,23,0,1,8,46,0,0,0,0,0
 24-34,0,0,0.82,0.82,9.85,2.46,0,19.7,5.75,1.64,9.03,0,13.13,0,2.46,1.64,0,0,6.57,45.97,0,0,9.85,114.1,0.82,0,0.82,0,0.82,0,0,0,2.46,0,1.64,31.19,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,19.34,0.81,6.45,19.34,0,8.86,0,0.81,0,1.61,0,6.45,36.26,0,4.03,4.03,68.48,0,0.81,3.22,0,0,0,0,0,0.81,0,0,15.31,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,24.67,0.57,11.48,24.67,0.57,3.44,0,0,0.57,1.15,0,9.75,61.4,0.57,2.3,5.16,47.05,0,0,1.15,0,1.72,0,0,0,0,0,0,4.59,0,2.3,0.57,0,1.15
 60-70,0,0,0,0,0,0,0,61.84,1.96,16.69,11.78,0,1.96,0,0,0,1.96,0,1.96,145.27,0,4.91,4.91,59.87,0,0,2.94,0,0.98,0,0,0,1.96,0,0,4.91,0,10.8,0,3.93,0
 72-82,0,0,0.98,0,5.89,2.94,0,127.62,0,37.3,11.78,0.98,6.87,0.98,0,0,3.93,0,5.89,209.09,0,7.85,9.82,114.85,0,0,5.89,0,0.98,0,0.98,0,1.96,0,0,12.76,0,25.52,0,16.69,0
 84-94,0,0,0,0,4.25,2.12,0,107.27,1.06,22.3,9.56,0,2.12,0,0,1.06,5.31,0,7.43,149.75,0,12.74,3.19,57.35,0,0,7.43,0,1.06,2.12,0,0,4.25,0,0,5.31,0,26.55,2.12,9.56,0
 96-106,1.09,0,0,0,4.37,1.09,1.09,135.51,2.19,21.86,15.3,0,9.84,0,0,5.46,4.37,1.09,6.56,154.09,0,15.3,3.28,62.29,0,1.09,12.02,0,8.74,0,0,0,1.09,0,0,2.19,1.09,37.16,0,22.95,0
108-118,0,0,0,1.53,4.6,0.77,0,108.77,0.77,29.11,6.89,0,2.3,1.53,2.3,0.77,3.06,0.77,5.36,163.15,0.77,9.19,1.53,74.3,0,0,6.13,0,5.36,0,0,0,2.3,0,0,1.53,1.53,23.74,0.77,12.26,0
120,0,0,0,0,3.92,1.96,0,52.91,5.88,7.84,13.72,0,3.92,0,1.96,1.96,1.96,0,3.92,84.27,0,5.88,0,74.47,0,0,1.96,0,7.84,1.96,0,0,0,0,0,0,1.96,15.68,0,7.84,0
