stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2,33,7,17,0,0,0,8,1,0,1,0,0,0,0,0,0,20,0,0,10,178,5,1,3,9,0,4,17,0,0,35,66,0,0,3,0,0
 24-34,1.64,9.85,0.82,44.33,0,0,0,4.93,0,0,0.82,0,0.82,0,1.64,0.82,1.64,28.73,0,1.64,9.85,417.82,2.46,6.57,4.1,0,0.82,4.1,0,0.82,0,4.1,59.1,0,0,7.39,0,0
 36-46,0.81,6.45,0,76.54,0,0,0,10.47,0,0,0.81,0,0.81,0.81,0.81,0.81,0,27.39,0,0.81,2.42,359.33,0.81,3.22,0,0,0,0.81,0,0,0,0,67.68,0,0,5.64,0,0
 48-58,0,2.3,0,142.88,1.72,0,0,25.25,0.57,0,1.15,0,0.57,0,0.57,3.44,0.57,27.54,1.15,1.15,4.59,366.09,0.57,2.3,0,0,0,0.57,0,1.15,0,0,56.23,0,0,6.89,0,1.15
 60-70,0,0.98,0,121.71,0.98,0,0.98,21.59,0.98,0,0,1.96,0,0.98,0.98,4.91,0,22.58,0,0.98,2.94,232.62,0,2.94,1.96,0,0,1.96,0,0.98,0,0,34.35,0,0.98,0,0,0.98
 72-82,0,3.93,0.98,103.07,0.98,0,1.96,26.5,0.98,0,0,4.91,0.98,0,0,81.48,0,30.43,0,1.96,6.87,214,0,2.94,1.96,0,0,0.98,0,0,0,0,13.74,0.98,0,9.82,0.98,1.96
 84-94,0,9.56,1.06,67.97,0,0,0,10.62,2.12,1.06,0,10.62,0,0,3.19,335.6,0,26.55,1.06,1.06,3.19,124.26,0,0,2.12,0,0,5.31,0,0,1.06,0,6.37,0,0,3.19,2.12,0
 96-106,0,12.02,1.09,59.01,1.09,0,0,18.58,4.37,0,0,7.65,3.28,1.09,0,646.97,0,28.41,1.09,3.28,6.56,186.88,0,1.09,1.09,0,0,8.74,0,0,0,0,2.19,0,0,5.46,1.09,1.09
108-118,0,9.19,4.6,49.79,0,4.6,0.77,19.92,2.3,0,0,5.36,0.77,0.77,0,1330.48,1.53,29.87,0,0.77,9.96,183.83,0,2.3,2.3,0,0.77,5.36,0,0,0,0,1.53,0,0,2.3,2.3,2.3
120,0,15.68,3.92,47.03,0,1.96,3.92,23.52,5.88,0,1.96,11.76,1.96,0,1.96,644.77,0,31.36,0,1.96,9.8,146.98,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,1.96
