stage,epidermis,exocrine.pancreas,eye,fin.epithelia,gut,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,periderm,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0.81,0
 48-58,0.57,0,1.15,0,0,0,0,0,0,1.15,0.57,0.57,0,0,0
 60-70,0,0,1.96,0,0,0.98,0,0,0,0,1.96,0,0,0.98,0
 72-82,0,1.96,0.98,0,0,0,0.98,0,0,0,4.91,0.98,0,0,0
 84-94,0,2.12,1.06,0,0,0,0,0,0,0,5.31,0,0,0,0
 96-106,0,3.28,0,0,0,0,1.09,2.19,0,0,0,2.19,0,0,0
108-118,2.3,4.6,1.53,0.77,0.77,0,0.77,1.53,0.77,0,1.53,0.77,0,0,0.77
120,1.96,0,5.88,0,0,0,0,0,0,0,0,5.88,0,0,0
