stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.4,0,2.63,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,22.03,0,0,12.59,0,0,0,0,0,0
 14-21,0,3,1,1,1,1,1,0,1,2,2,19,1,0,4,1,9,1,2,11,0
 24-34,0,0,0.82,1.64,0.82,0,0,0,1.64,4.1,1.64,13.13,0,0,0,0,0,0,0,3.28,0
 36-46,0,0,0,1.61,0,0,0,0,0,2.42,0.81,4.83,0,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0.57,0.57,0,0,0,0,1.15,0,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.96,0.98,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,2.12,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,3.28,0,0,1.09,1.09,0,0,0,0,0,0,0
108-118,0,0,1.53,0.77,0,0,0,0,0,1.53,0,1.53,0,0,0,0,0,0,0,0,0
