stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,100,3,1,0,0,0,2,8,0,0,0,0,3,0,0,3,17,0,2,0,0,0,1,1,5,13,0,0,0,0,0
 24-34,0,0,0,43.51,0,1.64,0.82,1.64,1.64,42.68,0.82,0.82,0,0,0,38.58,0.82,0,41.86,36.12,7.39,1.64,0,0,1.64,0,0,0.82,37.76,0,0,0,0,0
 36-46,0,0,0,24.98,0,8.06,0,6.45,4.83,58.01,0,0,0,0,0,82.98,0,1.61,66.06,44.31,3.22,4.03,0,0,0.81,0.81,0,0,32.23,0,0,0,0,0
 48-58,0,0,0,25.82,0,5.16,0,9.18,6.89,43.04,0,1.72,0,0,0,113.04,0,6.31,35,26.4,3.44,2.3,0,0,1.72,0,0,0,9.18,0,0,0,0,0
 60-70,0,0,0,32.39,0,16.69,0,14.72,3.93,22.58,0,0.98,0,0,0,102.08,0,13.74,11.78,9.82,0.98,5.89,0,0,0.98,0,0,0,6.87,0,2.94,0,7.85,0
 72-82,0,0,0,35.34,0.98,23.56,0,13.74,8.83,23.56,0,1.96,0,0,0,160.99,0,4.91,23.56,20.61,2.94,6.87,0,0,0.98,0,0,0,1.96,0.98,2.94,0,10.8,0
 84-94,1.06,0,0,46.73,0,13.81,0,47.79,9.56,24.43,1.06,3.19,0,0,0,92.4,0,6.37,15.93,12.74,2.12,3.19,0,0,0,0,0,0,11.68,1.06,3.19,2.12,18.05,0
 96-106,0,0,0,59.01,2.19,22.95,0,22.95,1.09,9.84,2.19,4.37,0,0,1.09,79.78,0,4.37,15.3,15.3,3.28,9.84,0,1.09,3.28,0,0,0,4.37,1.09,0,0,22.95,0
108-118,0,0,0,55.92,0,2.3,0,55.15,3.06,15.32,2.3,4.6,0.77,3.06,0,67.4,0,3.83,9.96,12.26,2.3,3.83,0,1.53,0.77,0,0.77,0,5.36,1.53,0,0,22.21,0.77
120,0,0,0,41.16,0,7.84,0,29.4,1.96,7.84,0,3.92,3.92,0,0,33.32,1.96,1.96,11.76,3.92,1.96,0,1.96,1.96,3.92,0,0,0,1.96,0,0,0,19.6,0
