stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,33,1,0,0,0,1,0,6,8,0,0,0
 24-34,0,0.82,4.1,0,0.82,0,0,0,0,0,0,0.82,0,2.46,0,1.64,34.48,0,0,0,0.82,0,0.82,0,4.93,0,0,0
 36-46,0,0,20.14,0,2.42,0,0,0,0,0,0,0,0.81,9.67,0,2.42,55.59,0,0,0.81,0,0,0,0,14.5,0,0,0.81
 48-58,0,0,21.23,0,3.44,0.57,0,0,0,0,0,0,0,3.44,0,0,22.95,0,0.57,0,0.57,0,0,0,4.02,0,0,0
 60-70,1.96,0,23.56,0,1.96,0,0,0,0,0,0,0,0,8.83,0,0,17.67,0,0,0,0.98,0,0,0,2.94,0,0.98,0.98
 72-82,0.98,0,6.87,0,0,0,0,0,0,0,0.98,0,0,7.85,1.96,0,7.85,0,0.98,0.98,1.96,0,0.98,0,1.96,0,0.98,0
 84-94,1.06,0,6.37,1.06,0,1.06,0,0,1.06,0,0,0,0,4.25,0,0,8.5,0,1.06,1.06,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,5.46,0,1.09,1.09,0,1.09,0,1.09,0,0,0,3.28,0,0,2.19,1.09,1.09,0,0,0,0,0,0,0,0,1.09
108-118,1.53,0.77,2.3,0,2.3,0.77,0,0,0,0,0.77,0,0.77,3.83,0,0,6.89,0,0,1.53,1.53,0,0,0,0,0,0,1.53
120,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96,7.84,0,0,0,1.96,0,0,0,0,1.96,0,0
