stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,0,0,0,7.89,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,1,8,0,0,0,0,0,1,0,24,0,1,0,2,1,3,4,0
 24-34,0,0,0,0,0,4.1,0,0,0,0,0,0,0,21.34,0.82,0.82,0,0.82,0,0,4.1,0
 36-46,0,0,0,1.61,0,2.42,0,0,0,0,0,1.61,0,15.31,0,0.81,0,2.42,0,0,5.64,0.81
 48-58,0,0,0,0.57,0,12.05,0,1.72,0,0,0,4.02,1.15,17.79,0,0,0,0,0,0,2.87,0.57
 60-70,0,0,0,0.98,0,3.93,0,0.98,0,0.98,0,3.93,1.96,14.72,0,0.98,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,2.94,0,2.94,0,0,0,4.91,0.98,4.91,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,3.19,0,2.12,1.06,1.06,0,0,0,4.25,1.06,3.19,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,3.28,0,0,0,0,1.09,1.09,1.09,6.56,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,2.3,0,0,0,3.83,0.77,2.3,0,0,0,0.77,0,0,0,0.77
120,0,0,0,3.92,0,1.96,0,3.92,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,1.96
