stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,2.94,0,0,3.93,0.98,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.31,0,0,6.37,1.06,0,0,0,1.06,1.06,1.06,0,1.06
 96-106,2.19,1.09,3.28,1.09,0,14.21,1.09,0,43.71,2.19,1.09,8.74,0,0,0,0,1.09,1.09
108-118,0,0,3.06,0,0.77,16.85,0.77,1.53,74.3,0.77,0.77,7.66,0,0,0,0,0,0
120,0,0,3.92,0,0,13.72,0,0,52.91,0,0,1.96,0,0,0,0,0,0
