stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,13,3,0,1,3,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,12.31,0,0,0,0,12.31,0,0,0,5.75,0.82,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,39.48,0,0,0,0,10.47,0,0,0,8.86,0,0
 48-58,0,0,0,0,0,2.87,0,0.57,0,0,0,0,1.15,0,0,0.57,9.18,0.57,0,0,0,3.44,0,0,0,2.87,0,0
 60-70,0,0,1.96,0,0,12.76,0,0,0,0,0,0,2.94,0,0,0,48.09,0,0,0,0,4.91,0,0,0,3.93,0,0.98
 72-82,0,0,3.93,0.98,0,5.89,0,1.96,0,0,2.94,0,1.96,0,0,0,15.71,0,0,0,0,2.94,0,0,0,1.96,0,0
 84-94,0,0,5.31,0,0,4.25,0,1.06,0,0,1.06,0,1.06,0,0,0,6.37,0,0,0,0,15.93,0,1.06,0,1.06,1.06,0
 96-106,0,0,4.37,0,0,3.28,1.09,1.09,1.09,0,3.28,0,2.19,1.09,0,0,12.02,0,0,0,0,18.58,0,0,0,0,2.19,0
108-118,0,0,6.89,0,0.77,3.06,0,0,0,0,5.36,0.77,5.36,0.77,0.77,0.77,15.32,0.77,0.77,0,0.77,17.62,0,0,0,0,0,0
120,0,0,9.8,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,13.72,0,0,0,0,15.68,0,0,0,0,0,0
