stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.18,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,82,0,0,1,0,1,2,0,1,0,1,57,0,0,1,26,1,2,0,0,1,7,0,0,0,0
 24-34,0,0,1.64,101.79,1.64,0,0.82,0,0,0,0,0.82,0,0,65.67,1.64,0,0.82,24.63,4.1,1.64,0,0.82,0,11.49,0,0,0,0
 36-46,0,0,0,45.92,0.81,0,0.81,0,0,0,0,0,0,0,24.17,0.81,0,0.81,12.89,3.22,3.22,0.81,0.81,0,4.83,0,0,0,0
 48-58,0,0,0,42.46,3.44,0,0,0,0,0,0,0,0.57,0,6.89,0.57,0,0,6.89,3.44,6.31,0,0.57,0,2.87,0,0,0,0
 60-70,0,0,0,43.19,1.96,0,0,0,1.96,0.98,0,0,0,0,1.96,0,0,0,15.7,3.93,7.85,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,0,73.62,1.96,0.98,0,0.98,4.91,5.89,0,1.96,0,0,2.94,0,0,0,19.63,13.74,26.5,0.98,0,0,3.93,1.96,1.96,0,0
 84-94,0,0,0,107.27,9.56,1.06,3.19,0,3.19,2.12,1.06,4.25,0,0,2.12,0,0,0,6.37,25.49,26.55,0,1.06,0,2.12,1.06,0,0,0
 96-106,0,3.28,0,133.33,5.46,0,0,0,2.19,7.65,0,8.74,1.09,0,1.09,0,1.09,0,12.02,50.27,27.32,4.37,0,0,2.19,3.28,1.09,0,1.09
108-118,0,2.3,0,111.06,6.13,0,2.3,0,1.53,6.89,0,10.72,0,0,1.53,0,0,0.77,11.49,25.28,34.47,1.53,0.77,0,0,0,0,0.77,0
120,0,0,0,66.63,3.92,0,0,0,0,1.96,0,5.88,1.96,0,1.96,0,0,0,13.72,15.68,19.6,0,3.92,0,0,3.92,3.92,1.96,0
