stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1963.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0
  5-6,67.43,1109.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,15.77,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,102.52,2.63,0,52.57,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,5,6,5,0,0,0,0,0,1,0,4,0,2,0,0
 24-34,0,0,0,4.1,0,1.64,0,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0.82,18.88,0,4.93,11.49,0,0,0,0,0,0,0,0,3.28,0,8.21,0,0
 36-46,0,0,0,2.42,0,2.42,0.81,0.81,1.61,0.81,0,0,4.03,0,0.81,0,0,0,0.81,27.39,0,4.83,11.28,0,0,0,0,0,0,0,0,8.06,0,11.28,0,0.81
 48-58,0,0,0,1.15,0,3.44,0,1.15,0,1.15,0,0,1.72,0,0,0,0,0.57,1.72,20.08,0,5.16,16.07,0,0,0,0,0.57,0,0,0,4.02,0,5.16,0,0.57
 60-70,0,0,0,2.94,0.98,1.96,0,1.96,2.94,2.94,0,0,0,0,0,0.98,0,1.96,0.98,55.95,0,4.91,26.5,0,0,0,0,0,0,0,0,4.91,0,10.8,1.96,1.96
 72-82,0,0,0,2.94,0.98,2.94,0,0,0.98,3.93,0,0,4.91,0,0,0.98,0.98,0,0,43.19,0.98,3.93,36.32,0,0,0,0,0.98,0,0,0,5.89,1.96,6.87,0.98,0.98
 84-94,0,0,0,3.19,1.06,9.56,0,3.19,3.19,6.37,0,0,1.06,0,0,3.19,0,0,1.06,30.8,0,4.25,21.24,0,0,0,0,0,0,0,0,2.12,1.06,9.56,1.06,1.06
 96-106,0,0,0,6.56,0,4.37,0,3.28,1.09,1.09,0,0,0,2.19,0,1.09,0,0,1.09,37.16,1.09,1.09,27.32,0,0,0,0,0,0,0,1.09,4.37,0,8.74,0,2.19
108-118,0,0,0,7.66,1.53,1.53,0,8.43,0.77,3.83,0,0,0.77,0,0,4.6,0,0,0,26.81,1.53,1.53,32.17,0,0,0,0.77,0,0,0,0,2.3,0.77,9.96,0,0.77
120,0,0,0,7.84,3.92,1.96,0,5.88,1.96,0,1.96,0,0,0,0,0,0,0,1.96,11.76,0,1.96,33.32,0,1.96,0,0,0,0,0,0,3.92,1.96,1.96,1.96,1.96
