stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,neural,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,1,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0.82
 36-46,0,0,0,1.61,0,0,0,0,4.83,0,0
 48-58,0,0,0,1.15,0,0,0,0,1.72,0,1.15
 60-70,0,0,0,0.98,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,0,0,0.98,1.96,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,1.06,1.06,1.06
 96-106,0,0,1.09,3.28,0,0,0,2.19,0,0,0
108-118,0,0,0,1.53,0,0.77,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0
