stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,521.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,12.26,0,30.65,0,0,0,0,0,0,0,0,0
  7-9,13.14,18.4,18.4,0,0,0,52.57,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,580.95,13.14,0,0,176.12,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,9.44,28.32,0,3.15,0,53.5,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,383.93,6.29,0,0,94.41,0,6.29,0,0,15.73,3.15,0,0,0,0,0
 14-21,0,0,3,60,3,0,5,0,0,0,0,3,1,0,0,2,0,0,0,0,10,0,0,8,71,1,0,3,1,0,9,2,12,1,8,12,0,2,0,0
 24-34,0,0,2.46,17.24,0,0,19.7,0,0.82,0,0.82,0,0,0.82,0.82,2.46,0.82,0.82,0,0,29.55,0,0,3.28,75.52,0.82,1.64,2.46,0,0,36.12,0,0,0,1.64,14.78,0,5.75,0,0
 36-46,0,0,0,4.83,0,0,8.86,0,0,0,0.81,1.61,0,1.61,1.61,0,0,0.81,0,0,16.11,0.81,0,2.42,31.42,0,0,4.03,0,0,29,0,0,0,0,8.86,0,4.03,0,0
 48-58,0,0,0,1.72,0,0,14.92,0.57,0.57,1.72,1.72,0,0,0,2.3,0,0,0.57,0,0,18.94,0,0.57,2.3,26.4,0,0,1.15,0,0,8.03,0.57,0,0,0,4.02,0,3.44,0,0.57
 60-70,0,0,0,1.96,0,0,8.83,0,0,0.98,3.93,0.98,0,0,3.93,0,0,0,0,0,11.78,0,0,2.94,24.54,0,1.96,0,0,0,7.85,0,0,0,0,1.96,0,3.93,0.98,0
 72-82,0,0,0,2.94,2.94,0,6.87,0.98,0,0,2.94,0,0,0,5.89,0.98,0,0,0,0,16.69,0,0,2.94,13.74,0,0.98,0.98,0,0,3.93,0,0,0,0,0.98,0,2.94,0,0
 84-94,0,0,0,4.25,0,0,7.43,0,2.12,2.12,2.12,0,0,0,14.87,1.06,0,0,0,0,8.5,0,0,0,15.93,0,0,2.12,0,1.06,6.37,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,8.74,1.09,0,3.28,0,2.19,0,1.09,2.19,0,3.28,20.76,1.09,0,0,0,0,13.11,0,0,1.09,12.02,0,1.09,3.28,0,0,6.56,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0,6.89,0,0.77,9.19,0,0.77,2.3,2.3,0.77,0,1.53,13.79,0.77,0,0,0.77,0.77,13.79,0,0.77,0.77,19.92,0,0,0,0,0,13.79,0,0,0,0,0,0,2.3,0,0
120,0,0,0,7.84,0,0,5.88,0,0,0,1.96,0,0,0,15.68,1.96,0,0,1.96,0,5.88,0,0,3.92,3.92,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0
