stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,12.59,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,0,0,0,0,115,2,0,0,1,0,0,0,0,0,12,0,0,6,171,0,0,0,1,0,0,1,0,1,0,1,290,0,0,0,0,0
 24-34,0,0,0,4.1,0,5.75,0,0,0.82,158.43,0,0,1.64,0,0,0,0.82,0,1.64,59.92,0,0,27.09,133.8,4.1,0.82,7.39,0,0,0.82,0,0,4.1,0,2.46,518.78,0,0,13.13,0,0
 36-46,0,0,0,0.81,0,13.7,0,0,4.83,141.8,0,0,0.81,0,0,0,0.81,0.81,3.22,186.11,0,1.61,51.56,116.02,4.03,0,12.09,0,0,0,0,0,0.81,0.81,0,641.31,0,0,6.45,0,0.81
 48-58,0,0,0,4.59,0,15.49,0,0.57,8.03,151.48,0,0,0.57,0,0,0.57,1.15,0,8.03,299.53,0,0.57,53.94,107.88,5.16,1.72,21.8,0,0,1.72,0,0,0.57,0,0,421.17,0,1.15,6.89,0,2.87
 60-70,0,0,0,2.94,0,28.46,0,0.98,9.82,220.84,0.98,0,0,0.98,0,2.94,0,0.98,8.83,635.04,0,8.83,47.11,105.02,5.89,0.98,28.46,0,0.98,0.98,0,0.98,1.96,0,0,164.9,0,4.91,5.89,1.96,5.89
 72-82,0,0.98,0.98,13.74,0.98,68.72,0,0.98,31.41,305.3,8.83,0,0,1.96,4.91,5.89,3.93,0.98,8.83,966.94,0.98,14.72,62.83,111.91,1.96,0,57.92,0,1.96,0.98,0,0,0,0,0,58.9,0.98,11.78,18.65,12.76,8.83
 84-94,0,0,0,27.61,2.12,89.21,2.12,2.12,8.5,220.9,5.31,0,0,1.06,6.37,10.62,0,0,29.74,610.67,0,16.99,40.36,69.03,12.74,2.12,79.65,0,0,4.25,0,0,2.12,0,0,56.29,1.06,8.5,15.93,12.74,4.25
 96-106,0,1.09,0,40.44,0,63.39,0,1.09,14.21,196.71,10.93,0,1.09,0,10.93,16.39,1.09,0,18.58,730.02,4.37,14.21,28.41,78.68,3.28,1.09,108.19,0,1.09,8.74,0,0,2.19,0,0,29.51,1.09,8.74,27.32,25.14,5.46
108-118,0,0.77,1.53,51.32,1.53,45.19,0,4.6,16.09,176.17,5.36,0,0,1.53,9.96,29.11,1.53,0.77,20.68,699.32,1.53,19.92,26.81,80.43,8.43,1.53,111.06,0,3.06,6.13,0,0,0.77,0.77,0,21.45,8.43,7.66,16.09,10.72,13.02
120,0,3.92,0,33.32,0,37.24,0,1.96,7.84,160.7,3.92,0,0,1.96,5.88,13.72,0,1.96,9.8,501.71,0,25.48,27.44,86.23,9.8,1.96,76.43,0,1.96,3.92,0,0,5.88,0,0,17.64,5.88,5.88,15.68,11.76,3.92
