stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34,1.64,0,0,1.64,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,16.11,0.81,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,1.72,0,8.61,1.15,0,0,0,0.57,1.15,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,3.93,0,10.8,0.98,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,1.96,0.98,0,0,0,0,0,5.89,0,22.58,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,2.12,1.06,0,0,0,0,0,1.06,0,15.93,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,5.46,0,1.09,0,1.09,0,0,1.09,1.09,16.39,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,6.13,1.53,0.77,0,0.77,0,1.53,3.06,0,22.21,1.53,3.06,0,1.53,0,0,0.77
120,1.96,0,3.92,0,1.96,0,1.96,0,0,1.96,0,1.96,0,23.52,3.92,0,0,0,0,0,0
