stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,2530.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,9,0,0,5,0,0,0,0,4,9,0,0,2,0,0,0,3,0,0,0,34,15,0,10,1,1,1,0,4,20,0,0,0,0,0
 24-34,0,0,4.93,8.21,0,0,4.93,0,0,0,3.28,4.1,1.64,0,0,3.28,0,0.82,0,0,3.28,0,0,45.15,74.7,5.75,13.95,0,7.39,0.82,1.64,0.82,15.6,0,0,0,0,0
 36-46,0,0,0.81,1.61,0,0,3.22,0,0,0,2.42,2.42,0,0,0,1.61,0,3.22,0.81,11.28,1.61,0,0,30.62,50.76,8.06,8.06,0,2.42,0,4.83,0,11.28,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,1.72,7.46,0,10.9,0.57,0,0.57,0,0,2.3,100.42,1.15,0,1.15,11.48,24.1,2.3,8.61,0,1.15,0,0,0,6.89,0,0,0,0,0
 60-70,0,0,0,4.91,0,0,3.93,0,0,0,5.89,0.98,4.91,0.98,0,1.96,0,0,0,236.55,0,0,3.93,17.67,18.65,4.91,13.74,0,5.89,0,1.96,0,2.94,0,0,0.98,0,0
 72-82,0,0,0,5.89,0,0,13.74,0.98,0,4.91,16.69,11.78,3.93,0.98,0.98,0.98,0.98,0.98,0,509.48,1.96,0,0.98,13.74,9.82,6.87,29.45,0,3.93,0,1.96,0,2.94,0,0,0.98,1.96,0
 84-94,0,0,0,6.37,2.12,0,12.74,0,0,1.06,8.5,31.86,5.31,0,0,3.19,0,4.25,0,355.78,0,0,2.12,10.62,15.93,19.12,28.68,0,19.12,0,3.19,0,2.12,2.12,1.06,1.06,0,0
 96-106,0,0,0,9.84,0,1.09,8.74,0,0,3.28,8.74,48.09,1.09,1.09,0,6.56,1.09,2.19,0,233.87,5.46,2.19,0,17.49,13.11,31.69,37.16,0,9.84,0,2.19,0,2.19,2.19,1.09,2.19,0,1.09
108-118,0,0,0.77,10.72,1.53,0,5.36,0,0.77,0.77,12.26,59.75,0,0.77,0.77,3.83,0.77,3.83,1.53,162.38,5.36,0.77,0,16.09,18.38,15.32,45.96,0,5.36,0,2.3,0,0,3.83,0,0,0,0
120,0,0,0,13.72,1.96,0,1.96,0,0,3.92,15.68,15.68,0,0,5.88,1.96,0,0,0,145.02,0,0,0,17.64,7.84,19.6,13.72,0,9.8,0,1.96,0,0,1.96,0,0,0,0
