stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,50.35,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,0,9,1,0,0,0,21,0,79,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0.82,0.82,24.63,0,0,0,0,0,1.64,0,0,7.39,13.13,0.82,0,0,9.85,0.82,39.4,0,0,0
 36-46,0,0,0,0,2.42,0,0.81,0,0.81,11.28,0,0,0,0,0,0,0,0,15.31,12.09,0.81,0,0.81,7.25,0,25.78,0,0,0
 48-58,0,0,0,1.15,0.57,0,1.72,0.57,0,13.77,0,0,0,0,0,0.57,0,0,6.89,9.18,0,0,0,6.31,0,16.07,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,15.7,0,0,0,0,0.98,0,0.98,0,16.69,6.87,5.89,0,0,0.98,0,12.76,0,0,0
 72-82,0,3.93,0,0,3.93,7.85,1.96,0,0,10.8,0,0,0.98,0,2.94,0.98,0,0,18.65,12.76,2.94,0,0.98,0,0,2.94,0,0,0
 84-94,0,3.19,0,1.06,0,28.68,2.12,0,0,4.25,0,0,0,0,2.12,0,1.06,1.06,13.81,7.43,6.37,0,0,4.25,0,4.25,0,0,0
 96-106,0,1.09,1.09,0,3.28,21.86,2.19,0,0,5.46,1.09,0,0,0,3.28,1.09,0,0,9.84,16.39,7.65,0,0,0,0,3.28,1.09,1.09,0
108-118,0,0.77,0.77,0.77,3.83,60.51,3.83,0,0.77,3.06,0,0,0,0,1.53,3.06,0,0,11.49,6.89,6.89,0,0,2.3,0,3.06,0,0,0.77
120,0,3.92,0,7.84,3.92,19.6,0,0,0,3.92,0,0,0,1.96,1.96,1.96,0,0,25.48,13.72,9.8,0,0,3.92,0,1.96,0,0,0
