stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,11,81,47,0,27,0,2,0,6,9,2,5,0,4,0,0,0,2,46,1,0,24,337,13,1,2,10,0,23,1,44,4,6,67,108,0,0,23,0,1
 24-34,0,6.57,55,6.57,0,81.26,0.82,11.49,2.46,13.13,4.1,0,5.75,0,9.03,0.82,8.21,0.82,3.28,99.32,7.39,0,39.4,674.74,13.13,2.46,11.49,0,0,53.36,0,0,5.75,7.39,23.8,148.57,0,0,93.58,0,2.46
 36-46,0,0.81,25.78,0,0,74.12,1.61,8.06,5.64,45.92,0.81,0,12.09,0,3.22,2.42,2.42,1.61,4.03,164.36,1.61,2.42,49.95,384.3,5.64,3.22,7.25,1.61,0.81,52.37,0,0,6.45,1.61,0.81,107.96,0,0,48.34,0,1.61
 48-58,0,0.57,14.35,0.57,0,102.71,2.87,8.61,9.75,78.04,2.3,0.57,7.46,0.57,2.87,2.3,1.72,0.57,6.89,242.72,2.87,6.89,40.17,193.95,7.46,2.3,9.18,0,1.72,30.99,0,0,2.3,2.3,0,68.28,0,1.72,51.64,0.57,4.02
 60-70,1.96,0,17.67,0,0,138.39,7.85,12.76,11.78,90.3,9.82,0,10.8,1.96,0,5.89,1.96,1.96,0.98,262.07,3.93,6.87,25.52,114.84,7.85,1.96,4.91,0,6.87,28.46,0,0,3.93,1.96,0,26.5,1.96,10.8,45.15,5.89,5.89
 72-82,4.91,0.98,40.25,0.98,0.98,166.88,4.91,7.85,13.74,110.93,18.65,1.96,12.76,2.94,7.85,8.83,3.93,1.96,3.93,368.12,8.83,9.82,40.25,126.63,4.91,1.96,13.74,0,2.94,60.86,0,0,3.93,0.98,0,10.8,1.96,14.72,93.26,15.71,5.89
 84-94,0,1.06,48.85,1.06,1.06,176.3,9.56,12.74,8.5,59.47,46.73,1.06,4.25,3.19,11.68,10.62,5.31,2.12,7.43,246.39,7.43,11.68,21.24,77.53,8.5,4.25,6.37,0,5.31,124.26,0,0,5.31,3.19,0,4.25,8.5,13.81,80.71,18.05,1.06
 96-106,4.37,0,64.48,4.37,2.19,166.11,8.74,21.86,10.93,71.04,44.81,0,13.11,7.65,3.28,6.56,4.37,2.19,3.28,190.16,16.39,8.74,28.41,78.68,4.37,6.56,10.93,0,9.84,135.51,0,0,2.19,1.09,0,6.56,13.11,6.56,87.43,21.86,4.37
108-118,4.6,0,79.66,2.3,5.36,145.53,8.43,21.45,9.19,57.45,35.23,0,6.89,6.89,13.02,16.09,4.6,3.83,1.53,159.32,7.66,12.26,34.47,83.49,4.6,2.3,15.32,0,5.36,98.81,0,0,3.06,3.06,0,0.77,5.36,3.06,52.85,6.13,6.89
120,0,1.96,60.75,3.92,1.96,111.71,7.84,23.52,9.8,41.16,37.24,1.96,5.88,3.92,11.76,7.84,7.84,3.92,0,123.47,3.92,9.8,25.48,62.71,17.64,5.88,9.8,0,1.96,78.39,0,0,7.84,0,0,3.92,3.92,5.88,29.4,17.64,1.96
