stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,5,0,1,0,0,0,1,1,0,0,0,0,0,10,0,0,3,27,0,3,0,1,0,0,4,0,0,11,10,0,0,0,0,0
 24-34,0,0,1.64,6.57,0,8.21,0.82,0,2.46,0,0,0,0,0.82,0,0.82,7.39,0,0.82,4.1,207.68,0,9.03,1.64,0,0,5.75,0,1.64,0,0.82,65.67,0,0,0,0,0
 36-46,0,0,0,4.03,0,16.11,0,0,2.42,0,0.81,0,0.81,0.81,0.81,0,5.64,0,0,1.61,377.05,0,8.06,1.61,0,0,3.22,0,0.81,0,0,73.32,0,0,0,0,0
 48-58,0,0,0,3.44,0,56.81,0.57,1.72,6.31,0,0,0,0,0.57,0,0,13.77,0,0.57,0.57,448.72,0,5.74,0.57,0,0,1.72,0,2.3,0,0,66.56,0,0,0,0,0
 60-70,0,0,0,5.89,0,112.88,0,0.98,7.85,0,1.96,0,0.98,0,0,0,15.7,0.98,0,0,778.35,0.98,5.89,0,0,0,0.98,0,5.89,0,0,65.76,0,0,0,0,0
 72-82,0,3.93,0,6.87,0.98,112.89,0,2.94,12.76,0,0,0.98,0,0.98,1.96,0.98,23.56,0,0,0,589.98,0,14.72,1.96,0,0,1.96,0,0,0.98,0,46.14,1.96,0.98,0.98,2.94,0
 84-94,0,2.12,0,13.81,1.06,96.65,0,1.06,7.43,1.06,1.06,0,1.06,0,1.06,2.12,20.18,0,4.25,1.06,279.32,0,1.06,0,0,0,2.12,0,0,0,0,23.36,2.12,0,1.06,1.06,0
 96-106,0,3.28,0,8.74,0,62.29,0,0,6.56,1.09,2.19,1.09,1.09,0,1.09,4.37,10.93,0,0,1.09,225.13,0,4.37,2.19,0,0,1.09,0,2.19,0,0,8.74,3.28,0,2.19,0,1.09
108-118,0,0,0,6.13,1.53,52.85,0.77,0,9.96,3.06,0.77,1.53,0.77,0.77,0,0,10.72,0,0.77,0.77,256.6,0.77,3.83,1.53,0,0,4.6,0,1.53,0.77,0,8.43,6.13,0,0.77,0.77,0.77
120,0,0,0,11.76,0,82.31,0,0,7.84,1.96,1.96,0,1.96,0,0,0,21.56,0,0,0,409.6,0,5.88,1.96,0,1.96,3.92,0,1.96,0,0,15.68,1.96,0,0,0,0
