stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,7.89,0,0,0,21.03,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,99.89,5.26,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,125.88,6.29,0,0,34.62,0,3.15,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,5,3,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,59,1,1,0,0,0,1,0,1,0,1,1,14,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,16.42,0.82,0,2.46,0,0,0,0,0,0,0,0,7.39,0,0,2.46,280.73,1.64,3.28,0.82,0,0,0,0,0,0,0,1.64,41.86,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,16.92,0,0,6.45,0,0,0,0,0,0,0,0,18.53,0,0,1.61,760.55,0.81,4.03,0,0,0,0,0,0,0,0,0,107.96,0,0,0.81,0,0
 48-58,0,0,0.57,0,2.3,0,0,50.49,0.57,0.57,20.66,0,0,0,0,0,1.15,0,1.15,23.53,0,0,4.02,939.32,0,2.87,0.57,0,0,0.57,0,0,0,0,0,125.66,0,0.57,1.15,0,0.57
 60-70,0,0,0.98,0,2.94,0.98,0,139.38,1.96,0.98,45.15,0.98,0,0.98,0.98,0,0.98,0,0.98,43.19,0,2.94,1.96,1451.67,0,2.94,0.98,0,0,2.94,0,0,0,0.98,0,162.93,0,0.98,2.94,0.98,0.98
 72-82,0,0,0.98,0,3.93,1.96,0,118.78,0,1.96,46.14,0.98,0.98,0.98,1.96,0,1.96,0.98,0.98,67.73,0,0.98,8.83,910.98,0,0.98,1.96,0,0,1.96,0,0,0,0,0,55.95,0,1.96,1.96,0.98,2.94
 84-94,0,0,0,0,9.56,0,0,91.34,1.06,1.06,46.73,0,0,0,1.06,1.06,2.12,2.12,1.06,44.61,1.06,1.06,2.12,494.91,0,3.19,2.12,0,1.06,1.06,0,0,0,0,0,53.1,2.12,0,0,1.06,2.12
 96-106,0,0,0,0,5.46,2.19,0,69.94,1.09,4.37,30.6,1.09,0,0,3.28,1.09,3.28,0,1.09,31.69,0,0,1.09,322.39,1.09,7.65,3.28,0,1.09,2.19,0,0,0,0,0,15.3,0,3.28,4.37,1.09,0
108-118,0,0,0.77,0,7.66,2.3,0.77,55.92,0,1.53,21.45,0,0,0.77,2.3,0,2.3,0.77,1.53,43.66,0,3.06,3.83,361.53,0,1.53,2.3,0,0,0,0,0,0.77,0,0,6.89,0,0.77,3.06,0,1.53
120,0,0,0,0,11.76,0,0,52.91,1.96,1.96,31.36,0,0,1.96,1.96,1.96,3.92,0,0,39.2,0,1.96,1.96,454.67,1.96,3.92,5.88,0,1.96,0,0,0,3.92,0,0,19.6,0,0,3.92,0,0
