stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,5192.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0,0,0,0,0,0,0
  5-6,214.54,2176.02,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,21.03,70.98,0,0,78.86,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,767.58,39.43,0,0,328.59,2.63,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,47.2,0,9.44,110.14,0,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0,692.33,25.18,0,0,295.82,3.15,9.44,3.15,28.32,0,6.29,0,0,0,0,0,0
 14-21,0,0,5,38,14,18,0,0,0,5,5,6,0,0,3,0,0,0,0,23,0,0,21,334,25,4,2,11,8,1,75,4,3,90,89,0,0,2,0,0
 24-34,0,0,1.64,17.24,3.28,72.24,0,0.82,0,4.93,0,0,1.64,0,3.28,0,1.64,1.64,0,48.43,0,0,22.98,508.93,3.28,4.93,4.1,0,13.95,0,0.82,0,0,4.1,96.86,0,0,7.39,0,0
 36-46,0,0,0,5.64,0.81,97.49,0,0,0.81,10.47,0,0,0,0,0,0.81,0,0.81,0,37.87,0.81,0,7.25,265.07,0.81,4.03,0,0,4.03,0,0,0.81,0,0,59.62,0,0,3.22,0,3.22
 48-58,0.57,0,0,2.87,0,114.76,0,0,0.57,9.18,0,0,0,0.57,0,0,0.57,0.57,1.15,26.97,0,0,6.31,112.47,1.15,1.15,0.57,0,1.72,0,0,0,0,0,24.1,0,0,3.44,0,0.57
 60-70,0,0,0,14.72,0,72.63,0,0.98,0,12.76,1.96,0,0,0,0.98,1.96,1.96,0,0,31.41,0.98,0,4.91,71.65,2.94,0,0,0,1.96,0,0,0,0,0,2.94,0,0,2.94,0,0
 72-82,0,0,0,6.87,6.87,49.08,1.96,0,2.94,11.78,1.96,0,0,0.98,0,0,0.98,0,0,36.32,0,4.91,5.89,60.86,0,0,1.96,0,0.98,0,0,0.98,0,0,4.91,0,0,0.98,0,0.98
 84-94,0,0,0,13.81,3.19,42.48,1.06,0,1.06,13.81,3.19,0,0,6.37,1.06,0,0,2.12,0,29.74,0,5.31,10.62,57.35,1.06,0,2.12,0,4.25,0,0,1.06,0,0,0,2.12,1.06,4.25,0,0
 96-106,0,0,0,5.46,1.09,29.51,1.09,2.19,1.09,7.65,6.56,0,0,3.28,0,0,1.09,7.65,0,25.14,0,1.09,6.56,63.39,1.09,2.19,3.28,0,2.19,1.09,0,0,0,0,2.19,1.09,0,3.28,0,0
108-118,0,0,0.77,13.02,7.66,25.28,0.77,2.3,0.77,14.55,0.77,0,0,1.53,0.77,0.77,1.53,1.53,0,22.21,0,1.53,7.66,76.6,1.53,0,4.6,0,1.53,0.77,0,0,0,0,2.3,1.53,0.77,4.6,0.77,0
120,0,0,0,19.6,7.84,21.56,0,1.96,1.96,15.68,0,0,0,1.96,0,0,5.88,0,0,17.64,1.96,0,9.8,86.23,1.96,1.96,0,0,5.88,0,0,0,0,0,7.84,0,0,3.92,0,0
