stage,endocrine.pancreas,epidermis,eye,glial,gut,heart,immune,mesenchyme,muscle,neural,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,2,0,0,1,1,0,0,0,3,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,11.49,2.46,1.64,0
 36-46,0,0,1.61,0,0,0,0,0,0,10.47,0,2.42,0
 48-58,0,0,1.15,0.57,0,0,0,0.57,0,16.64,1.72,6.31,0
 60-70,0,0,2.94,0,0,0,0.98,0,0,9.82,0.98,1.96,0
 72-82,0,0,0,0,0,0,1.96,0,0.98,13.74,0.98,2.94,0
 84-94,1.06,0,2.12,0,0,0,4.25,0,0,8.5,0,2.12,0
 96-106,0,0,0,0,0,0,3.28,0,0,7.65,0,1.09,1.09
108-118,0,0,0,0.77,0.77,0,0.77,0.77,0,9.19,0.77,1.53,0
120,0,0,0,1.96,0,0,7.84,1.96,0,5.88,0,0,0
