stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,1,5,0,0,4,0,3,1,0,0,0,0,0,0,4,0,1,39,0,0,0,0,1,3,0,1,5,0,0
 24-34,0,0.82,4.1,1.64,0,36.12,0,4.1,0,0,0,0,1.64,0.82,0,26.27,0.82,10.67,242.15,0.82,1.64,2.46,0,4.1,0,0,0.82,43.51,3.28,0
 36-46,0,0,0.81,0.81,0,47.53,0,0.81,0,0,0.81,0,0,0,0,13.7,0,2.42,96.68,0,0,0.81,0,3.22,0,0.81,0,20.14,0,0
 48-58,0,0.57,2.3,1.15,0,41.89,0.57,2.3,0,0,0,0,0,0.57,0,7.46,0,1.72,33.28,1.15,0,0.57,0,0,0,0,0,8.03,1.15,0
 60-70,0.98,0,5.89,0.98,0,51.04,0,4.91,0,0.98,0.98,0.98,0.98,0.98,0,13.74,0,2.94,30.43,1.96,0,0.98,0,0.98,0,0.98,0,1.96,0,0.98
 72-82,0,0,0,0,0,21.6,0,6.87,0,0,0.98,0,0,0,0,13.74,0,0,14.72,0,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,13.81,0,1.06,0,0,1.06,0,0,0,0,5.31,2.12,3.19,18.05,0,0,0,1.06,0,0,0,0,1.06,2.12,0
 96-106,0,0,2.19,0,0,3.28,0,0,0,0,0,0,1.09,0,0,4.37,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0.77,6.13,0,0,0,0,1.53,0,0,0,0.77,2.3,0.77,0,9.19,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,9.8,0,1.96,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0
