stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,317.84,9.44,0,0,62.94,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,2,1,9,0,0,10,0,0,0,2,2,1,0,0,0,0,0,0,1,2,0,0,3,477,5,6,2,1,0,1,8,0,2,12,316,0,0,4,0,0
 24-34,0,0,1.64,0.82,5.75,0,0,33.66,0,1.64,0.82,3.28,0,0.82,0,0,0.82,0,0,0.82,0.82,18.06,0,0,4.1,1530.08,2.46,25.45,5.75,0,3.28,0,0,0.82,0,4.93,397.29,0,0,8.21,0,0.82
 36-46,0,0,0.81,0,1.61,0.81,0,165.97,0.81,0.81,0.81,37.87,0,0,0,0,0,0.81,0,0,2.42,14.5,0,0.81,4.03,3136.47,1.61,26.59,1.61,0,4.03,0.81,0,0.81,0,0,556.72,0,0,5.64,0,4.03
 48-58,0,0,1.72,0,10.33,0.57,0,550.85,0,0,1.72,108.45,0,0,0.57,1.72,0.57,1.72,0,1.15,2.87,34.43,0.57,4.59,11.48,3706.78,2.3,17.79,2.87,0,6.89,0,0,0,0.57,0,599.63,0,0,12.05,0,8.61
 60-70,0,0,1.96,0,5.89,0.98,0,792.09,0.98,0.98,1.96,106,0.98,0,0,0,0,2.94,0,0,0,38.28,0,1.96,3.93,3689.54,0.98,12.76,0.98,0,5.89,0,0,0,0.98,0,359.24,0.98,0,1.96,0,1.96
 72-82,0,0,3.93,0,15.71,6.87,0,703.85,0,0.98,2.94,109.95,3.93,0,0.98,0.98,0,4.91,0.98,1.96,0,51.05,0,1.96,4.91,2771.23,0,19.63,5.89,0,3.93,0,0,0.98,0,0,139.4,0,0.98,11.78,0,7.85
 84-94,0,0,3.19,0,19.12,4.25,0,494.91,2.12,2.12,2.12,76.47,3.19,0,2.12,1.06,1.06,4.25,1.06,0,2.12,41.42,0,3.19,4.25,1440.12,0,7.43,8.5,0,3.19,0,0,0,0,0,87.09,2.12,3.19,6.37,2.12,1.06
 96-106,0,0,3.28,0,21.86,5.46,0,337.69,1.09,2.19,1.09,60.11,5.46,0,0,4.37,0,2.19,0,2.19,0,39.34,0,2.19,7.65,1049.13,0,16.39,5.46,0,8.74,0,0,0,1.09,0,36.06,0,1.09,10.93,1.09,0
108-118,0,0,1.53,0,13.02,1.53,0.77,224.43,0.77,0.77,3.06,45.96,1.53,0,0,1.53,1.53,0.77,0.77,1.53,0,12.26,0,2.3,1.53,1195.67,1.53,9.96,3.83,0,3.83,0,0,0.77,0,0,17.62,0,0,5.36,0.77,1.53
120,0,0,0,0,13.72,5.88,0,211.66,1.96,0,0,39.2,1.96,0,0,0,0,0,1.96,3.92,0,13.72,0,1.96,5.88,997.53,0,7.84,0,0,0,0,0,0,0,0,25.48,0,0,7.84,1.96,0
