stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,54,12,0,14,1,0,2,6,0,1,0,2,0,0,5,24,0,0,20,162,4,0,5,7,0,14,21,2,1,25,82,0,0,6,0,0
 24-34,0,0,0,0.82,15.6,1.64,0,7.39,0.82,3.28,0.82,0.82,0,3.28,0,2.46,0.82,0,0,35.3,0,0.82,20.52,114.1,5.75,0,1.64,0,0,24.63,0,0.82,1.64,3.28,24.63,0,0,27.09,0,0
 36-46,0,0,0,0,3.22,0,0,8.86,0,1.61,0.81,0,0.81,1.61,0,0.81,0,0.81,0,20.95,0,0.81,4.03,62.04,0.81,0,0,0,0,12.09,0,0,0,0,7.25,0,0,20.14,0,0
 48-58,0,0,0.57,0,5.74,0,0,10.9,0,1.15,4.59,0,0.57,2.87,1.15,0,0.57,0,0,26.4,0,1.72,4.02,52.79,0.57,0.57,0.57,0,0.57,10.9,0,0,0,0,6.89,0,1.72,9.75,0.57,0
 60-70,0,0,0,0,3.93,0,0,11.78,0.98,3.93,17.67,0,0,3.93,0.98,0,0,0.98,0.98,36.32,0,1.96,7.85,90.3,0.98,0,0,0,0,8.83,0,0,0,0,4.91,0.98,0.98,22.58,0,0
 72-82,0,0,1.96,0,2.94,0,0.98,14.72,0,1.96,25.52,0,0,3.93,4.91,0.98,0,0.98,0,69.7,0.98,4.91,6.87,156.08,0,0,0.98,0,1.96,11.78,0,0,0,0,3.93,0,5.89,42.21,0.98,0.98
 84-94,0,0,1.06,0,5.31,0,0,16.99,0,3.19,13.81,1.06,0,4.25,6.37,0,0,0,0,46.73,0,3.19,6.37,63.72,1.06,1.06,1.06,0,1.06,10.62,0,0,0,0,6.37,2.12,2.12,16.99,0,0
 96-106,0,0,0,0,4.37,1.09,0,6.56,1.09,1.09,12.02,1.09,0,5.46,3.28,0,2.19,0,0,48.09,0,1.09,1.09,76.5,0,0,1.09,0,0,19.67,0,1.09,0,0,2.19,0,1.09,26.23,3.28,0
108-118,0,0,0,0,5.36,0,0,7.66,0.77,1.53,17.62,0.77,0,2.3,5.36,0.77,0.77,1.53,0,49.79,0,2.3,1.53,108,0,0,0.77,0,1.53,6.13,0,0.77,0.77,0,3.83,0,0,19.92,0,0
120,0,0,0,0,3.92,1.96,0,7.84,0,0,11.76,0,0,0,13.72,0,0,0,0,31.36,0,1.96,1.96,123.47,0,1.96,1.96,0,0,9.8,0,0,0,0,3.92,0,1.96,13.72,0,0
