stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,17,2,0,0,2,2,0,0,1,0,0
 24-34,0,0,1.64,1.64,35.3,1.64,0,84.55,0.82,4.93,0.82,6.57,3.28,0,1.64,3.28,6.57,0.82,4.1,3.28,2.46,49.25,13.13,0.82,28.73,635.34,6.57,31.19,5.75,0,927.57,0,3.28,2.46,5.75,73.06,0,0,16.42,0,2.46
 36-46,0,0,0,0,34.64,4.03,0,196.58,4.03,25.78,4.03,42.7,3.22,0,3.22,8.06,8.86,1.61,11.28,3.22,6.45,107.96,29,2.42,34.64,1045.76,8.06,34.64,9.67,0.81,2035.12,0,3.22,1.61,0,244.92,0,0,18.53,0,9.67
 48-58,0.57,0,0,0.57,86.07,33.85,0,1036.87,5.74,64.84,17.79,216.9,7.46,4.02,10.33,20.08,11.48,8.03,12.05,6.31,25.25,457.9,30.41,8.61,92.38,2478.84,16.07,35.58,16.64,2.87,2002.01,0,3.44,2.3,0,520.44,0,1.72,39.02,0.57,56.23
 60-70,0,0,0.98,0,123.67,35.33,0,1102.25,5.89,65.76,16.69,195.32,14.72,3.93,3.93,23.56,19.63,6.87,17.67,3.93,10.8,425,27.48,23.56,48.09,1941.45,15.7,28.46,20.61,1.96,1979.73,0,7.85,6.87,0,293.48,6.87,11.78,26.5,0.98,53.98
 72-82,0,0,3.93,0,170.81,60.86,0,722.5,6.87,75.59,14.72,176.7,31.41,1.96,7.85,38.28,33.38,11.78,51.05,5.89,3.93,379.9,25.52,14.72,46.14,1294.81,6.87,33.38,26.5,2.94,1825.89,0,1.96,4.91,0,95.22,21.6,14.72,53.01,14.72,45.16
 84-94,0,0,4.25,0,332.42,88.15,2.12,514.03,8.5,203.91,9.56,125.32,96.65,1.06,6.37,59.47,107.27,19.12,82.84,12.74,14.87,334.54,49.92,19.12,45.67,769.98,8.5,110.45,29.74,2.12,5126.45,0,18.05,7.43,0,63.72,83.9,9.56,36.11,22.3,27.61
 96-106,0,0,7.65,2.19,500.52,177.04,21.86,745.32,30.6,257.91,24.04,245.89,168.3,1.09,5.46,119.12,126.77,26.23,146.44,61.2,7.65,518.01,79.78,27.32,88.52,1283,9.84,150.81,51.36,9.84,5006.33,0,14.21,17.49,0,56.83,159.56,10.93,81.96,28.41,50.27
108-118,0,0,5.36,5.36,328.6,61.28,25.28,379.15,6.89,355.41,17.62,150.13,187.66,0,6.13,50.55,129.45,14.55,106.47,28.34,6.13,366.9,88.85,20.68,44.43,915.33,9.19,93.45,26.04,7.66,4975.7,0,4.6,3.83,0,33.7,140.17,9.19,42.13,13.02,22.21
120,0,0,0,0,258.69,54.87,17.64,250.85,9.8,241.05,23.52,92.11,90.15,1.96,3.92,52.91,48.99,5.88,70.55,19.6,1.96,207.74,41.16,5.88,41.16,683.97,19.6,56.83,17.64,1.96,2731.94,0,5.88,1.96,0,19.6,39.2,3.92,43.12,5.88,15.68
