stage,epidermis,eye,fin_epithelia,gut,liver,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,taste,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,5.75,0,0,0,0,0,0,0.82,0,9.85,0,0,0.82
 36-46,13.7,0,0,0,0,0.81,0.81,0,2.42,41.89,0.81,0,0
 48-58,2.3,0,0,0,0,0.57,0,0,2.3,8.03,0,0,0
 60-70,0,1.96,0,0,0,2.94,0,0,2.94,28.46,0.98,0,0
 72-82,0,0,4.91,0,0,3.93,0,0,4.91,71.66,0,0,0
 84-94,2.12,2.12,8.5,0,0,2.12,1.06,0,0,89.21,0,0,1.06
 96-106,5.46,2.19,21.86,0,1.09,3.28,1.09,0,4.37,159.56,1.09,3.28,0
108-118,7.66,3.06,14.55,0.77,0,1.53,0,0,3.06,170.81,0,0,0
120,7.84,1.96,5.88,0,0,0,0,0,3.92,121.51,0,0,0
