stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,2,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0
 24-34,0.82,0,0.82,0,0,0,0,3.28,0.82,0,2.46,0,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,4.83,0.81,0,0,4.83,0,0.81
 48-58,0,2.3,0,0,0.57,0,0.57,0.57,0,0.57,4.02,0,0,0,1.15,0,0
 60-70,0,4.91,0,0,1.96,0,0,4.91,0,0,6.87,0,0,0,0,0,0
 72-82,0.98,5.89,0.98,0,0,0,0,8.83,0,0,6.87,0,0,0,0,0,0.98
 84-94,1.06,7.43,0,0,1.06,0,0,3.19,0,0,6.37,0,0,1.06,1.06,1.06,0
 96-106,0,5.46,0,1.09,3.28,0,0,4.37,0,0,3.28,0,0,0,0,0,1.09
108-118,0,0.77,0,0,1.53,1.53,0,1.53,0.77,0,4.6,0.77,0,0,0,0,0.77
120,0,3.92,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
