stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,3,1,6,0,0,3,4,0,0,1,0,0,0,2,0,0,8,0,0,0,0,0,1
 24-34,0,1.64,0.82,0,0,0,2.46,0,0,0,0,0.82,0.82,0,0,0,0,4.1,1.64,10.67,0,0,10.67,8.21,0,0,0,0,0,0,0,0,0,6.57,1.64,0,0,0,0,14.78
 36-46,0,0,0,0,0,0,4.83,0.81,0,0,0,0,0,0,0,0,0,3.22,0,4.03,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,6.45
 48-58,0,0,0,0,0,1.15,0.57,1.15,1.15,0.57,0,0,0,0,0,0,0,0.57,0.57,7.46,0,0,1.72,8.03,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.57,0,4.02
 60-70,0,0,0,0,4.91,2.94,0.98,0,0,0,0,0,0,0,0,0.98,0,2.94,0,11.78,0,0,1.96,30.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,1.96
 72-82,0.98,0,2.94,0.98,70.68,30.43,4.91,1.96,4.91,9.82,2.94,0,0.98,0,0.98,0.98,0,3.93,0,41.23,0.98,0,5.89,117.8,1.96,0,0.98,0,0,10.8,0,0,0,0,0.98,0.98,1.96,3.93,2.94,1.96
 84-94,1.06,0,5.31,6.37,149.75,32.92,0,0,5.31,6.37,0,0,0,2.12,0,2.12,0,3.19,0,26.55,0,1.06,6.37,90.27,0,0,3.19,0,0,22.3,0,1.06,0,0,2.12,3.19,2.12,2.12,0,3.19
 96-106,0,0,28.41,27.32,314.74,115.84,2.19,0,3.28,45.9,9.84,0,3.28,13.11,2.19,4.37,4.37,14.21,0,81.96,0,3.28,13.11,278.68,1.09,6.56,8.74,0,0,49.18,0,0,0,0,4.37,0,1.09,21.86,7.65,8.74
108-118,2.3,0,30.64,17.62,644.17,128.68,6.13,12.26,11.49,45.96,8.43,0,1.53,15.32,6.13,8.43,1.53,15.32,1.53,117.96,2.3,4.6,16.85,365.36,0.77,0.77,6.13,0,4.6,52.09,0,1.53,2.3,0,4.6,2.3,2.3,9.19,6.13,14.55
120,1.96,0,39.2,13.72,293.97,90.15,3.92,1.96,7.84,29.4,7.84,0,1.96,7.84,3.92,5.88,0,11.76,0,78.39,0,3.92,5.88,252.81,1.96,3.92,9.8,0,0,19.6,0,0,0,0,5.88,0,1.96,3.92,3.92,0
