stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,78.86,13.14,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.45,278.64,0,0,644.03,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,154.2,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,676.6,191.97,0,0,855.98,9.44,0,94.41,0,15.73,6.29,0,0,0,0
 14-21,0,0,0,16,177,16,5,0,0,0,4,51,1,0,0,2,1,1,0,0,39,2,0,19,115,40,0,7,72,47,23,11,41,113,204,0,3,0,0
 24-34,0,0,0.82,3.28,36.94,0,12.31,0.82,2.46,1.64,3.28,5.75,0,0.82,0,1.64,0,7.39,0.82,0,30.37,0,0,17.24,381.7,4.93,0,36.94,0,237.23,0,0,11.49,22.16,156.78,0,5.75,0,0
 36-46,0,0,0,0,5.64,0,11.28,0.81,1.61,2.42,4.83,3.22,0,0.81,0.81,0,0,1.61,0.81,0,21.75,1.61,0,8.06,526.1,0.81,0.81,8.86,0,194.97,0,1.61,6.45,0,241.7,0,0.81,0,0.81
 48-58,0,0,0,0,6.31,0,11.48,0.57,2.87,2.3,13.77,1.15,0,0,0,0.57,0,0,0,0,8.61,0.57,0,2.3,243.87,0,0,6.89,0,103.28,0,0,6.89,0,111.32,0,0.57,0,0.57
 60-70,0,0,0,0,6.87,0,5.89,0.98,0,2.94,16.69,0.98,0,0.98,0,0,0,0,0,0,8.83,0,0,2.94,127.6,0,0,2.94,0,117.78,0,0.98,0.98,0,58.89,0,0.98,0,0
 72-82,0,0,0,0,2.94,0.98,6.87,0,1.96,0.98,13.74,3.93,0,0,0.98,0,0.98,0,0,0,12.76,0.98,0.98,3.93,87.37,0,0,3.93,0,175.72,0,0.98,3.93,0,19.63,0,0,0.98,0
 84-94,0,0,0,0,8.5,0,16.99,1.06,6.37,2.12,11.68,8.5,0,0,0,2.12,0,1.06,0,0,7.43,0,0,1.06,40.36,0,0,9.56,0,495.97,0,1.06,3.19,0,10.62,1.06,3.19,0,0
 96-106,0,0,0,0,5.46,0,8.74,0,2.19,0,4.37,5.46,0,0,0,2.19,1.09,0,0,0,6.56,4.37,1.09,0,37.16,1.09,1.09,7.65,0,321.3,0,1.09,4.37,0,6.56,0,0,0,0
108-118,0,0,0,0,5.36,0,9.19,0.77,7.66,0,4.6,3.06,0,0,0,3.06,1.53,0,0,0.77,6.89,4.6,0,0.77,29.87,0,0,3.06,0,261.96,0,0,4.6,0,2.3,0,0.77,0,0
120,0,0,0,0,13.72,0,5.88,0,5.88,0,0,7.84,0,0,0,1.96,1.96,0,1.96,0,5.88,0,0,1.96,21.56,0,1.96,9.8,0,172.46,0,0,1.96,0,0,0,0,0,0
