stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,15.77,0,7.89,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,1,1,1,0,0,1,0,9,0,0,0,4,1
 24-34,0,0,0,1.64,0,0.82,0.82,0,16.42,0,0,0.82,7.39,0
 36-46,0,0.81,0,0,3.22,0,0,0,24.17,0,0,0,6.45,0
 48-58,0,0,0,3.44,5.16,0,0.57,0,24.1,0,0,0,4.02,0
 60-70,0,0,0,8.83,5.89,0,0.98,0,35.33,0,0,0,1.96,0
 72-82,0,0,0,10.8,3.93,0,0,0,27.49,0.98,0,0,4.91,0
 84-94,0,1.06,0,7.43,3.19,0,1.06,1.06,9.56,0,0,1.06,2.12,0
 96-106,0,0,0,4.37,2.19,0,2.19,0,10.93,0,0,0,0,0
108-118,0,0,0,5.36,2.3,0,0.77,0,10.72,0,0,0,1.53,0
120,0,0,0,1.96,3.92,0,0,0,5.88,0,0,0,0,0
