stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,2.46,6.57,0,0,0,1.64,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,1.61,0,1.61,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,2.3,1.15,2.3,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.98,0,4.91,0,0.98,0,0,0,8.83,0,0,0,0,1.96,2.94,0,0,0.98
 72-82,0,0.98,0,1.96,1.96,0,0.98,0.98,0,0,0,0,0,0,10.8,1.96,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,1.06,0,0,0,1.06,0,2.12,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,2.19,1.09,0,1.09,0,0,1.09,0,1.09,0
108-118,0,0,0.77,0,0.77,0,0,0,1.53,0,0,0,0,0,4.6,0.77,0,0,0,0.77,0,0.77,0,0
120,0,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
