stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,22,4,0,15,0,0,0,1,1,0,0,0,1,0,0,0,2,8,0,0,6,62,9,3,0,3,5,1,8,0,0,17,26,0,0,4,0,0
 24-34,1.64,0.82,11.49,0,0,27.09,0,4.1,0,4.93,0,0.82,0.82,0,1.64,0,0.82,0,9.85,13.95,1.64,0,8.21,119.02,2.46,5.75,0,0,16.42,0,0.82,0.82,0,5.75,42.68,0,0,7.39,0,11.49
 36-46,0,0,6.45,0.81,0,28.2,0,6.45,0,9.67,0.81,0,0.81,0,0,4.83,0.81,0,12.09,11.28,1.61,0,8.06,233.64,1.61,1.61,1.61,0,18.53,0,0,1.61,0,0,47.53,0,0.81,6.45,0,8.86
 48-58,0,0,2.3,0.57,0,54.51,1.15,1.15,0.57,20.08,0,0.57,1.15,0.57,0.57,6.89,0.57,0,4.02,22.38,2.87,0.57,4.02,210.59,0,1.72,2.87,0,12.62,0,0,0,0,0,55.09,0,0,5.16,0,10.9
 60-70,0.98,0,4.91,0.98,0,94.23,0,0.98,0,23.56,0.98,0.98,0,2.94,0.98,9.82,0,0.98,0.98,35.33,0.98,0.98,6.87,262.07,0.98,1.96,0,0,9.82,0,0,0,0.98,0,36.32,0,0,5.89,0.98,6.87
 72-82,0.98,0,6.87,0.98,0,106.02,0,1.96,2.94,25.52,0.98,1.96,0.98,3.93,1.96,9.82,0,0,0,59.88,1.96,2.94,5.89,230.69,0,2.94,1.96,0,15.71,0,0,0.98,0,0,22.58,0,0.98,8.83,1.96,3.93
 84-94,0,0,15.93,7.43,0,63.72,0,4.25,1.06,16.99,5.31,1.06,1.06,5.31,4.25,14.87,1.06,0,3.19,26.55,1.06,0,5.31,113.64,1.06,4.25,4.25,0,27.61,0,0,1.06,0,0,8.5,1.06,1.06,6.37,0,3.19
 96-106,0,0,13.11,7.65,0,46.99,1.09,2.19,2.19,22.95,4.37,0,0,10.93,3.28,12.02,1.09,2.19,1.09,33.88,6.56,1.09,2.19,85.24,0,1.09,4.37,0,27.32,0,0,0,1.09,0,2.19,1.09,0,4.37,1.09,4.37
108-118,0.77,0,19.92,4.6,0.77,42.89,1.53,7.66,2.3,13.02,5.36,0,0,11.49,3.06,16.85,0.77,0.77,3.06,16.85,3.06,0.77,3.06,103.41,0.77,3.06,3.83,0,23.74,0,0,0.77,0,0,2.3,2.3,0.77,6.89,0,6.13
120,0,0,11.76,5.88,1.96,21.56,0,3.92,1.96,13.72,5.88,0,1.96,9.8,3.92,9.8,0,0,0,13.72,1.96,3.92,1.96,88.19,0,3.92,1.96,0,19.6,0,0,1.96,0,0,0,3.92,0,5.88,0,0
