stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,5,127,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,7,40,6,0,0,0,0,0,3,0,3,9,0,0,4,0,0
 24-34,0,2.46,4.93,74.7,0,0,1.64,0,6.57,0,0,0.82,2.46,4.1,0,0,0.82,0,0.82,19.7,0.82,0,21.34,55.82,9.03,0,1.64,43.51,0,0,2.46,0.82,2.46,24.63,0,0,82.09,0,0
 36-46,0,0,1.61,51.56,0,0,4.03,0.81,20.14,0.81,1.61,4.03,0,10.47,0,0.81,0,0.81,0,19.34,2.42,5.64,21.75,28.2,10.47,0,0.81,43.51,0,0.81,2.42,1.61,0,12.09,0,0,84.6,0,0
 48-58,0,0,0,20.66,0,0,6.89,1.72,25.25,0,10.9,1.72,2.87,9.75,0,0,0,2.3,0,20.08,1.15,4.59,14.35,26.97,1.72,1.15,0,16.07,0,0,0.57,0.57,0,4.59,0,0,66.56,0,0
 60-70,0,0,0,28.46,0,0,23.56,4.91,30.43,3.93,7.85,7.85,5.89,30.43,0,0,1.96,2.94,0,29.45,2.94,4.91,12.76,47.11,2.94,0,0.98,13.74,0,0,2.94,3.93,0,5.89,0,0,56.93,0,0.98
 72-82,0,0.98,0,33.38,1.96,0,65.77,0.98,30.43,0.98,13.74,11.78,2.94,32.39,0,0,2.94,0,0,38.28,0,3.93,8.83,60.86,2.94,0.98,3.93,19.63,0.98,0,0.98,0.98,0,3.93,0,2.94,117.8,3.93,0
 84-94,0,0,0,66.91,0,0,47.79,2.12,60.54,1.06,9.56,13.81,2.12,52.04,0,0,1.06,3.19,0,27.61,0,7.43,11.68,38.23,2.12,1.06,1.06,21.24,0,0,1.06,0,0,2.12,1.06,3.19,118.95,7.43,0
 96-106,0,4.37,0,51.36,0,1.09,66.66,3.28,62.29,3.28,7.65,12.02,6.56,37.16,3.28,1.09,0,2.19,0,20.76,0,1.09,10.93,41.53,5.46,4.37,8.74,21.86,2.19,0,3.28,2.19,0,4.37,7.65,4.37,128.96,0,0
108-118,0,0,1.53,42.89,0.77,0.77,62.04,3.06,71.23,0.77,11.49,10.72,0.77,34.47,1.53,0,1.53,0.77,0,10.72,0.77,1.53,9.96,40.6,7.66,3.06,7.66,11.49,0,0,0.77,4.6,0,3.83,6.89,3.06,114.89,0,0
120,0,0,0,68.59,1.96,0,41.16,5.88,66.63,0,13.72,5.88,0,37.24,1.96,0,0,0,0,9.8,0,0,7.84,56.83,15.68,1.96,1.96,11.76,0,0,0,0,0,1.96,7.84,0,99.95,1.96,0
