stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,12.59,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,18,3,0,0,0,0,5,0,2,0,10,14,18,0,1,0
 24-34,0,0,0,0,0.82,0,0,13.95,0,0,2.46,0,0,0,0,0.82,0,1.64,0,1.64,133.8,4.1,0.82,3.28,0,0,2.46,0,0,0,1.64,3.28,59.92,0,4.1,0
 36-46,0,0,0,0.81,0.81,0,0,52.37,0,0,2.42,0.81,0,0,1.61,0,0,2.42,0.81,0,296.49,2.42,6.45,3.22,0,0,0.81,0,0,0,0,0,78.15,0,3.22,0
 48-58,0,0,0.57,0,2.3,0,0,102.14,0,1.15,10.33,0,0,0.57,0,0,0,4.02,0,1.15,356.33,3.44,5.16,1.72,0,0,1.15,0,0,0,0,0,63.69,0,1.72,0
 60-70,0,0,0,0,0,0,0,184.53,0.98,0,8.83,0,0,0,0,0,0,2.94,0,1.96,336.66,1.96,4.91,0.98,0,0,0,0,0,0,0,0,48.09,0,0,0.98
 72-82,0,0,0,0,0,0,0,276.83,0,0,12.76,0.98,0.98,0.98,1.96,0,0,10.8,0,0,307.26,0,7.85,2.94,0,1.96,0,0,0,0,0,0,24.54,0.98,5.89,0.98
 84-94,0,0,1.06,0,3.19,1.06,0,139.13,1.06,0,7.43,1.06,2.12,4.25,3.19,0,0,8.5,3.19,1.06,172.05,6.37,4.25,3.19,0,1.06,0,0,0,0,0,0,12.74,2.12,2.12,0
 96-106,0,0,0,0,0,0,0,148.63,1.09,0,10.93,0,0,4.37,1.09,0,1.09,9.84,1.09,1.09,158.46,0,4.37,2.19,0,0,4.37,0,0,1.09,0,0,7.65,0,3.28,1.09
108-118,0,0,0,0,2.3,0,0.77,103.41,0,0,8.43,0,0.77,3.06,2.3,0,0,6.89,0,2.3,158.55,4.6,2.3,0.77,0,0,0.77,0,0,0,0,0,6.89,3.83,3.06,0
120,0,0,0,0,5.88,0,0,99.95,0,1.96,7.84,0,0,5.88,1.96,0,0,11.76,0,0,164.62,0,5.88,3.92,0,0,1.96,0,0,0,0,0,3.92,1.96,5.88,0
