stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,5,1,12,1,1,0,0,0,15,1,0,0,0,0,0,0,0,2,0,0,3,194,7,3,0,0,3,1,3,136,0,0,0,0,0
 24-34,1.64,0,6.57,0,9.85,0,0.82,0,4.1,0.82,0,0,0,0,0,0,0,8.21,0,0,4.93,912.79,4.93,9.03,0.82,3.28,0.82,0.82,0,166.63,0,0,3.28,0,0.82
 36-46,0,0,4.83,0,132.13,0,0.81,0,8.06,0.81,0.81,0,0,0.81,0,0,0,10.47,0,0.81,0.81,1761.19,6.45,8.06,1.61,0.81,0,0,0,232.03,0,0,1.61,0,0
 48-58,0,0,4.02,0.57,439.53,1.72,0.57,0,17.79,0,0.57,0,0,0,0.57,0.57,0,23.53,0,1.72,3.44,1730.6,1.72,1.15,2.3,2.3,0,0,0,224.36,0,0,1.15,0,2.3
 60-70,2.94,0,6.87,0,1167.03,0,2.94,0,17.67,0,0.98,3.93,0,0.98,0.98,0,0,19.63,0,0,1.96,1796.19,0.98,1.96,2.94,2.94,0,0,0,180.6,0.98,0,0.98,0,2.94
 72-82,1.96,0,19.63,1.96,1125.97,0,0,4.91,40.25,0.98,0.98,0.98,0.98,0.98,3.93,0,0.98,56.94,0.98,2.94,0.98,1285.98,0,5.89,5.89,5.89,0,0,0,87.37,1.96,0,2.94,0.98,1.96
 84-94,1.06,0,26.55,1.06,748.74,2.12,1.06,1.06,43.54,0,2.12,3.19,0,1.06,2.12,0,0,15.93,1.06,1.06,2.12,605.36,0,1.06,7.43,4.25,1.06,0,0,53.1,3.19,1.06,2.12,2.12,1.06
 96-106,1.09,0,13.11,1.09,459,1.09,1.09,2.19,26.23,2.19,0,3.28,2.19,2.19,0,3.28,0,24.04,1.09,0,1.09,436.05,0,6.56,10.93,7.65,3.28,0,0,19.67,2.19,1.09,3.28,2.19,0
108-118,1.53,0,10.72,3.06,331.66,0.77,1.53,1.53,6.89,2.3,0.77,0,0,2.3,3.83,0.77,1.53,16.85,0.77,0.77,1.53,532.34,0.77,6.89,5.36,2.3,0,0,0,13.79,0.77,0.77,2.3,0.77,2.3
120,0,0,23.52,1.96,319.45,1.96,1.96,1.96,23.52,3.92,0,1.96,0,0,1.96,0,1.96,19.6,0,0,9.8,615.37,0,9.8,5.88,3.92,0,0,0,5.88,0,0,1.96,1.96,0
