stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,10,1,5,0,0,0,6,0,0,0,0,0,0,0,61,0,0,1,1,0,0,1,0,0,28,0,0
 24-34,0,1.64,0,1.64,0,0,0,2.46,0,0.82,0,0,0,0.82,0.82,49.25,0,1.64,0.82,0,2.46,0,0,0.82,0.82,19.7,0,0
 36-46,0,1.61,0,0.81,0,0,0,0.81,0,0,0,0,0,1.61,0,37.87,0,1.61,0,0,2.42,0.81,0,0.81,0,15.31,0,0
 48-58,0,0.57,0,5.16,0.57,0,0,4.59,0,0,0,0,0.57,0.57,0.57,37.87,0,0,0,0,0.57,0,0,0,0,9.75,0,0.57
 60-70,0,0,0,13.74,0,0.98,0,15.7,0,0,0,0,0,0.98,0,36.32,0,0.98,0,0,2.94,0,0,0,0,5.89,0,0
 72-82,0,2.94,1.96,33.38,0,0,0.98,18.65,0.98,0,0,0.98,0,0.98,0,53.99,0,3.93,0.98,0,0,0,0,0,0,6.87,0,0
 84-94,1.06,2.12,0,23.36,0,0,0,20.18,0,0,1.06,0,0,3.19,0,19.12,0,1.06,0,0,3.19,0,0,0,0,1.06,0,0
 96-106,0,2.19,0,41.53,0,1.09,0,32.79,0,0,0,0,0,1.09,0,21.86,0,2.19,2.19,0,0,0,0,0,0,1.09,0,0
108-118,1.53,6.13,0,49.02,0,0.77,0,30.64,0.77,0,0,0,0,3.06,0.77,25.28,0.77,0,0.77,0,0.77,0,0,0,0,1.53,0.77,0
120,0,5.88,0,17.64,0,1.96,0,21.56,0,0,0,0,0,3.92,0,47.03,0,1.96,0,0,0,0,0,0,0,1.96,5.88,0
