stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,63.21,0,0,0,0,0,0.82,3.28,0,0.82,0,0.82,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,77.34,0,0,0,0.81,0,0,5.64,0,0,0,0,2.42,0,0.81,0
 48-58,0,0,1.72,0,1.15,0,0,0,0,79.19,0,0,0,0.57,0,0,4.59,0,0,0,0,1.72,0,0.57,0
 60-70,0,0,0,0,3.93,0,0.98,0,0.98,99.13,0,0,0,0,0,0,2.94,0,0,0,0,0,0,5.89,0
 72-82,0,1.96,0,0,3.93,0,0.98,0,0,132.52,0,0,0,2.94,1.96,0,1.96,0,0,0,0,0,0.98,7.85,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,161.43,1.06,0,0,2.12,0,0,1.06,0,0,0,0,0,0,5.31,0
 96-106,0,1.09,0,1.09,2.19,0,1.09,1.09,0,198.9,0,0,1.09,2.19,1.09,0,7.65,0,0,1.09,1.09,0,0,17.49,1.09
108-118,0,2.3,1.53,0.77,1.53,0.77,2.3,0,0,127.92,0,0,0,3.06,0,0,2.3,0,0,0,0,0,0,9.96,0
120,0,0,1.96,0,0,0,3.92,0,0,190.1,0,1.96,0,0,0,0,5.88,1.96,0,0,0,0,0,7.84,0
