stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,4,1,0,0,1,0,1,2,0,0,0,0,9,0,0,6,90,2,0,1,1,0,0,6,0,49,0,0,3,0,0
 24-34,0,0,0.82,0,1.64,0,9.03,0,0.82,3.28,0,0,1.64,0,0,0,1.64,7.39,0,0,3.28,215.06,0.82,1.64,1.64,0,0.82,0.82,0,2.46,71.41,0,0,5.75,0,0
 36-46,0,0,0,0,0,3.22,49.15,0,1.61,9.67,0,0,0.81,0,0.81,0,0.81,19.34,0,0,11.28,515.63,0,3.22,0,0,1.61,0,0,0,95.07,0,0,3.22,0,0
 48-58,0,0,0,0,1.15,0,83.2,0.57,0,13.77,0,0,0.57,0.57,0.57,0,0.57,24.67,0,0,3.44,411.99,0,1.15,0,0,0.57,0,0,0,52.79,0,0,1.72,0,0
 60-70,0,0,0,0,1.96,0,317.03,0,2.94,23.56,0,0,0,0,1.96,0,0.98,38.28,0,0,3.93,786.2,0,1.96,0,0,0,0,0,0,62.82,0,0.98,0.98,0.98,0
 72-82,0,0,0,0,1.96,0.98,428,0.98,3.93,30.43,0,0,0,0,0,0.98,0,29.45,0,0,3.93,679.31,0,3.93,0,0,0,0,0,0,36.32,0.98,1.96,2.94,0,0.98
 84-94,0,0,0,0,3.19,1.06,200.73,0,3.19,19.12,2.12,0,0,2.12,0,0,0,21.24,0,2.12,4.25,299.49,0,1.06,0,0,0,0,0,0,25.49,0,1.06,4.25,1.06,0
 96-106,0,0,1.09,0,5.46,1.09,212.01,0,3.28,13.11,1.09,0,0,1.09,0,0,0,19.67,1.09,0,1.09,272.12,0,2.19,0,0,1.09,0,0,0,9.84,0,0,2.19,0,1.09
108-118,0,0,0,0,3.83,0.77,168.51,0,1.53,13.79,0.77,0,0,1.53,0.77,0,0,19.92,0.77,0,1.53,351.58,0,3.06,0.77,0,3.06,0,0,0,6.13,0.77,0.77,0,0,0
120,0,0,0,0,3.92,1.96,96.03,0,3.92,9.8,0,0,0,1.96,0,1.96,0,13.72,0,0,0,376.28,0,1.96,0,0,0,0,0,0,0,1.96,0,3.92,0,0
