stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,iridophores,lateral.line,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,taste
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
  7-9,5.26,0,2.63,0,2.63,0,0,0,0,0,0,0,28.92,2.63,10.51,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,13.13,0,0,2.46,0,1.64,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,2.42,14.5,0,0,3.22,0,2.42,0
 48-58,0,0,0,0.57,0.57,0,0.57,0,0,0,0,0,10.33,0,0,0,0,1.72,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,1.96,0.98,0,0,1.96,0,1.96,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0,1.96,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,3.28,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,1.53,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
