stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,49.95,0,0,7.89,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,1,1,0
 24-34,0,0,0,0,9.03,0.82,0.82,1.64,0,0,2.46,0,0.82,0,0.82,5.75,3.28,1.64,0,9.85,0,0.82,0,1.64,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,1.61,0.81,1.61,0.81,0,0,4.03,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,1.15,0,0.57,0.57,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0,0.98,0.98,0,0,1.96,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,6.87,0,0.98,5.89,0,1.96,0.98,0.98,0,0.98,0.98,2.94,2.94,0.98,0,13.74,0,0,0,0,1.96
 84-94,0,0,0,0,5.31,0,1.06,2.12,1.06,1.06,1.06,1.06,1.06,0,0,4.25,1.06,2.12,0,7.43,0,0,0,0,0
 96-106,0,0,1.09,0,12.02,0,1.09,3.28,0,1.09,2.19,1.09,0,1.09,0,2.19,3.28,2.19,0,13.11,0,0,0,0,2.19
108-118,0,0,0,0,1.53,0,2.3,0.77,0,0.77,0,0,0,0,0,1.53,2.3,2.3,0,3.83,0,0,0,0,0.77
120,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
