stage,epidermis,erythrocytes,eye,glial,heart,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,14.78,0,0,0,0.82,4.93,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,39.48,0,0,0,0,10.47,0,0,0
 48-58,0,0,2.3,1.72,0,0.57,0,0.57,0,35,0,0.57,0,0,9.18,0,0,0
 60-70,0,0,5.89,5.89,0.98,0,0,0,0.98,50.06,0,0,0,0,8.83,0,0,0
 72-82,0.98,0,5.89,9.82,0.98,0,0,0,0.98,45.16,0.98,0,0,0,6.87,0,0.98,0
 84-94,0,0,3.19,7.43,0,1.06,1.06,0,0,12.74,0,0,0,0,1.06,0,1.06,0
 96-106,1.09,0,4.37,7.65,0,0,0,0,0,19.67,0,0,0,0,0,1.09,0,1.09
108-118,0.77,0,3.06,13.02,0,0.77,0,0,0,15.32,0,0,0,0,0,0,1.53,0
120,0,0,1.96,9.8,0,0,0,0,0,21.56,0,0,0,0,0,0,1.96,0
